주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,645","1,772","1,777","1,895","2,044"
영업이익,7,100,141,211,133
영업이익(발표기준),7,100,141,211,133
세전계속사업이익,-31,52,97,172,117
당기순이익,-25,53,112,133,102
  당기순이익(지배),-25,53,112,133,102
  당기순이익(비지배),,,,,
자산총계,"1,737","1,788","1,878","1,895","1,953"
부채총계,"1,551","1,519","1,499","1,018",974
자본총계,186,268,379,878,979
  자본총계(지배),186,268,379,878,979
  자본총계(비지배),,,,,
자본금,296,296,296,576,576
영업활동현금흐름,-33,96,146,311,167
투자활동현금흐름,-34,-64,-61,-122,-61
재무활동현금흐름,73,-22,-79,-151,-67
CAPEX,38,62,65,85,96
FCF,-71,34,80,226,71
이자발생부채,"1,074","1,057","1,020",522,471
영업이익률,0.44,5.66,7.94,11.11,6.50
순이익률,-1.51,3.00,6.32,7.01,5.01
ROE(%),-15.84,23.41,34.66,21.14,11.03
ROA(%),-1.43,3.02,6.12,7.04,5.32
부채비율,833.66,566.00,395.48,115.95,99.43
자본유보율,-75.92,-58.53,-21.09,22.51,40.19
EPS(원),-84,144,304,303,178
PER(배),N/A,8.15,6.97,5.95,9.05
BPS(원),503,726,"1,026","1,525","1,702"
PBR(배),2.52,1.61,2.06,1.18,0.95
현금DPS(원),0,0,0,,
현금배당수익률,0.00,0.00,0.00,,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"36,951,975","36,951,975","36,951,975","57,562,997","57,562,997"
