주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,446","1,687","1,459","1,724","1,935"
영업이익,106,148,16,62,96
영업이익(발표기준),106,148,16,62,96
세전계속사업이익,102,125,62,109,91
당기순이익,94,116,43,80,80
  당기순이익(지배),94,116,43,80,80
  당기순이익(비지배),,,,,
자산총계,848,"1,023","1,001","1,106","1,221"
부채총계,281,356,306,353,395
자본총계,567,666,695,753,826
  자본총계(지배),567,666,695,753,826
  자본총계(비지배),,,,,
자본금,355,355,355,355,355
영업활동현금흐름,88,99,-61,119,72
투자활동현금흐름,-52,-42,85,-55,13
재무활동현금흐름,-32,44,-34,-6,-35
CAPEX,3,38,24,53,6
FCF,85,61,-84,67,66
이자발생부채,74,119,104,116,89
영업이익률,7.33,8.76,1.08,3.62,4.96
순이익률,6.53,6.90,2.95,4.65,4.12
ROE(%),17.76,18.87,6.32,11.08,10.11
ROA(%),11.41,12.44,4.25,7.61,6.86
부채비율,49.65,53.45,44.09,46.95,47.80
자본유보율,63.21,91.89,99.05,117.64,136.17
EPS(원),133,164,60,113,112
PER(배),10.50,7.97,30.66,16.62,18.84
BPS(원),806,949,986,"1,077","1,175"
PBR(배),1.73,1.38,1.88,1.74,1.80
현금DPS(원),20,25,20,20,25
현금배당수익률,1.43,1.92,1.08,1.07,1.18
현금배당성향(%),14.91,15.09,32.78,17.44,22.03
발행주식수(보통주),"71,047,521","71,047,521","71,047,521","71,047,521","71,047,521"
