주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"3,228","2,869","2,701","2,661","2,515"
영업이익,67,8,-83,64,-58
영업이익(발표기준),67,8,-83,64,-58
세전계속사업이익,22,-33,-216,29,-98
당기순이익,26,-26,-174,23,-75
  당기순이익(지배),26,-26,-174,23,-75
  당기순이익(비지배),,,,,
자산총계,"2,153","2,222","2,336","1,958","1,999"
부채총계,"1,592","1,682","1,837","1,453","1,554"
자본총계,561,540,499,505,446
  자본총계(지배),561,540,499,505,446
  자본총계(비지배),,,,,
자본금,274,297,309,310,310
영업활동현금흐름,98,-39,-54,292,-84
투자활동현금흐름,114,-16,40,-2,-14
재무활동현금흐름,-205,67,7,-300,108
CAPEX,6,10,3,5,11
FCF,92,-50,-57,287,-94
이자발생부채,979,"1,076","1,124",871,"1,018"
영업이익률,2.08,0.27,-3.06,2.39,-2.30
순이익률,0.80,-0.92,-6.43,0.85,-2.99
ROE(%),4.75,-4.78,,4.52,-15.80
ROA(%),1.16,-1.20,,1.05,-3.80
부채비율,283.55,311.51,368.38,287.74,348.72
자본유보율,119.91,95.95,34.12,37.76,8.82
EPS(원),473,-469,"-2,868",365,"-1,209"
PER(배),13.84,N/A,N/A,22.75,N/A
BPS(원),"11,032","9,740","8,625","8,938","7,888"
PBR(배),0.59,0.60,0.62,0.93,0.82
현금DPS(원),150,0,,,
현금배당수익률,2.29,0.00,,,
현금배당성향(%),29.43,0.00,0.00,0.00,
발행주식수(보통주),"5,477,951","5,933,871","6,170,756","6,209,515","6,209,515"
