주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"2,755","2,893","3,408","3,886","4,805"
영업이익,-19,-41,-36,45,9
영업이익(발표기준),-19,-41,-36,45,9
세전계속사업이익,18,-42,154,89,14
당기순이익,10,-42,119,57,-58
  당기순이익(지배),12,-41,119,58,-58
  당기순이익(비지배),-1,-1,-1,0,0
자산총계,"2,514","2,822","3,359","3,135","3,446"
부채총계,860,"1,230","1,627","1,361","1,724"
자본총계,"1,654","1,592","1,733","1,774","1,722"
  자본총계(지배),"1,656","1,594","1,734","1,774","1,722"
  자본총계(비지배),-2,,-1,0,
자본금,154,154,154,154,154
영업활동현금흐름,19,-120,-59,136,-347
투자활동현금흐름,-319,-110,245,-70,-1
재무활동현금흐름,15,334,157,-313,269
CAPEX,285,163,31,51,111
FCF,-266,-283,-90,86,-458
이자발생부채,337,679,876,542,888
영업이익률,-0.69,-1.43,-1.05,1.16,0.19
순이익률,0.38,-1.46,3.48,1.47,-1.22
ROE(%),0.71,-2.54,7.17,3.28,-3.32
ROA(%),0.42,-1.58,3.84,1.76,-1.78
부채비율,51.98,77.28,93.88,76.74,100.07
자본유보율,"1,016.96",982.82,"1,065.12","1,089.70","1,055.50"
EPS(원),379,"-1,337","3,858","1,865","-1,877"
PER(배),77.64,N/A,7.62,16.09,N/A
BPS(원),"64,402","61,977","67,440","68,993","67,106"
PBR(배),0.46,0.39,0.44,0.43,0.42
현금DPS(원),250,0,150,150,150
현금배당수익률,0.85,0.00,0.51,0.50,0.54
현금배당성향(%),54.84,0.00,3.24,6.69,-6.64
발행주식수(보통주),"3,090,000","3,090,000","3,090,000","3,090,000","3,090,000"
