주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"2,704","2,397","2,224","2,037","2,717"
영업이익,108,115,93,52,86
영업이익(발표기준),108,115,93,52,86
세전계속사업이익,114,88,69,31,74
당기순이익,116,72,43,15,57
  당기순이익(지배),116,72,43,15,57
  당기순이익(비지배),,,,,
자산총계,"2,154","2,046","2,093","2,028","3,579"
부채총계,923,751,688,586,"1,041"
자본총계,"1,232","1,294","1,405","1,442","2,539"
  자본총계(지배),"1,232","1,294","1,405","1,442","2,539"
  자본총계(비지배),,,,,
자본금,114,114,114,114,205
영업활동현금흐름,-81,223,62,27,162
투자활동현금흐름,5,-90,-75,5,-21
재무활동현금흐름,74,-132,20,-29,-30
CAPEX,34,67,73,33,50
FCF,-115,156,-11,-5,111
이자발생부채,493,367,314,312,324
영업이익률,3.99,4.79,4.18,2.54,3.16
순이익률,4.31,2.98,1.93,0.72,2.09
ROE(%),10.07,5.66,3.18,,2.86
ROA(%),5.53,3.40,2.07,,2.03
부채비율,74.90,58.04,48.97,40.67,41.00
자본유보율,989.89,"1,060.89","1,120.27","1,135.55","1,076.04"
EPS(원),509,313,187,65,158
PER(배),5.92,17.65,21.58,64.99,22.34
BPS(원),"5,793","6,087","6,290","6,457","7,164"
PBR(배),0.52,0.91,0.64,0.65,0.49
현금DPS(원),25,35,35,35,35
현금배당수익률,0.83,0.63,0.87,0.83,0.99
현금배당성향(%),4.57,10.41,18.23,52.96,21.82
발행주식수(보통주),"22,863,632","22,863,632","22,863,632","22,863,632","41,067,062"
