주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,436","1,552","1,702","1,835","1,698"
영업이익,238,235,297,395,284
영업이익(발표기준),238,235,297,395,284
세전계속사업이익,215,213,283,227,183
당기순이익,168,158,219,173,129
  당기순이익(지배),168,158,219,173,129
  당기순이익(비지배),,,,,
자산총계,"1,985","2,009","2,014","2,144","2,195"
부채총계,964,916,788,819,880
자본총계,"1,021","1,093","1,226","1,325","1,315"
  자본총계(지배),"1,021","1,093","1,226","1,325","1,315"
  자본총계(비지배),,,,,
자본금,396,396,396,396,396
영업활동현금흐름,220,361,243,468,302
투자활동현금흐름,-90,-104,-84,-376,-228
재무활동현금흐름,-131,-133,-188,-165,-50
CAPEX,88,100,81,159,190
FCF,133,261,162,308,112
이자발생부채,604,550,447,365,465
영업이익률,16.56,15.17,17.48,21.50,16.73
순이익률,11.69,10.19,12.89,9.43,7.60
ROE(%),17.45,14.97,18.92,13.56,9.78
ROA(%),8.59,7.92,10.91,8.32,5.95
부채비율,94.45,83.84,64.26,61.82,66.91
자본유보율,157.92,176.00,209.74,234.70,249.21
EPS(원),"1,060",999,"1,385","1,093",816
PER(배),19.86,21.97,14.29,18.99,16.98
BPS(원),"6,448","6,900","7,744","8,367","8,492"
PBR(배),3.26,3.18,2.56,2.48,1.63
현금DPS(원),500,500,500,500,500
현금배당수익률,2.38,2.28,2.53,2.41,3.61
현금배당성향(%),47.18,50.04,36.09,45.76,59.95
발행주식수(보통주),"15,834,554","15,834,554","15,834,554","15,834,554","15,834,554"
