주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,"2,895","3,157","3,048","2,869","3,265","3,502","3,744","2,989"
영업이익,230,277,251,257,287,318,344,370
영업이익(발표기준),230,277,251,257,287,,,
세전계속사업이익,284,590,457,467,597,583,609,
당기순이익,221,455,340,340,451,455,471,
  당기순이익(지배),221,455,340,340,451,455,471,
  당기순이익(비지배),,,,,,,,
자산총계,"4,368","4,842","4,818","4,989","5,755","5,743","6,120",
부채총계,524,636,379,380,780,384,391,
자본총계,"3,844","4,206","4,439","4,609","4,975","5,359","5,729",
  자본총계(지배),"3,844","4,206","4,439","4,609","4,975","5,359","5,729",
  자본총계(비지배),,,,,,,,
자본금,143,143,143,143,143,143,143,
영업활동현금흐름,221,523,236,413,561,365,379,
투자활동현금흐름,-79,-783,13,-174,25,-134,-141,
재무활동현금흐름,-73,-76,-101,-182,-109,-101,-101,
CAPEX,53,133,47,71,69,87,93,
FCF,168,391,188,342,492,,,
이자발생부채,0,0,45,28,17,,,
영업이익률,7.95,8.78,8.24,8.97,8.78,9.08,9.19,12.38
순이익률,7.62,14.41,11.14,11.87,13.81,12.99,12.58,
ROE(%),5.86,11.30,7.86,7.53,9.41,8.81,8.50,
ROA(%),5.17,9.88,7.03,6.94,8.39,7.92,7.94,
부채비율,13.63,15.12,8.54,8.25,15.67,7.17,6.82,
자본유보율,"2,954.19","3,240.24","3,408.16","3,579.39","3,830.62",,,
EPS(원),"1,918","3,956","2,953","2,961","3,922","3,957","4,096",
PER(배),17.20,7.76,9.99,10.01,9.13,8.64,8.35,
BPS(원),"40,757","44,599","47,075","50,210","54,249","58,557","62,600",
PBR(배),0.81,0.69,0.63,0.59,0.66,0.58,0.55,
현금DPS(원),800,"1,000","1,000","1,000","1,100","1,100","1,100",
현금배당수익률,2.42,3.26,3.39,3.37,3.07,3.22,3.22,
현금배당성향(%),34.20,20.73,27.77,26.96,22.37,27.80,26.86,
발행주식수(보통주),"11,500,000","11,500,000","11,500,000","11,500,000","11,500,000",,,
