주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,766","1,861","2,020","1,671","1,875"
영업이익,110,33,48,-45,80
영업이익(발표기준),110,33,48,-45,80
세전계속사업이익,97,12,73,686,82
당기순이익,59,5,66,533,59
  당기순이익(지배),34,3,49,532,32
  당기순이익(비지배),25,1,17,0,28
자산총계,"1,846","1,907","2,416","2,924","3,387"
부채총계,680,748,"1,202","1,187","1,153"
자본총계,"1,166","1,159","1,215","1,737","2,234"
  자본총계(지배),877,869,907,"1,429","1,898"
  자본총계(비지배),289,,308,308,336
자본금,50,50,50,50,50
영업활동현금흐름,59,98,364,271,446
투자활동현금흐름,-95,-96,-76,77,-117
재무활동현금흐름,26,30,-322,-320,-352
CAPEX,97,81,59,28,37
FCF,-38,17,305,243,410
이자발생부채,399,449,895,796,565
영업이익률,6.23,1.78,2.38,-2.70,4.27
순이익률,3.32,0.25,3.27,31.88,3.17
ROE(%),3.92,0.38,5.49,45.58,1.90
ROA(%),3.25,0.24,3.05,19.95,1.88
부채비율,58.29,64.55,98.91,68.38,51.62
자본유보율,"1,652.42","1,631.47","1,708.88","2,759.11","2,885.67"
EPS(원),338,33,487,"5,322",316
PER(배),35.39,338.55,52.05,4.50,104.93
BPS(원),"8,770","8,686","9,069","14,285","18,982"
PBR(배),1.36,1.28,2.80,1.68,1.75
현금DPS(원),150,100,100,200,200
현금배당수익률,1.26,0.90,0.39,0.84,0.60
현금배당성향(%),44.43,305.00,20.53,3.76,63.30
발행주식수(보통주),"10,000,000","10,000,000","10,000,000","10,000,000","10,000,000"
