주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"29,158","31,088","22,607","17,406","25,918"
영업이익,"2,412","3,315","1,920",535,"3,553"
영업이익(발표기준),"2,412","3,315","1,920",535,"3,553"
세전계속사업이익,"2,758","3,438","1,500","2,229","4,301"
당기순이익,"1,792","2,491","1,675","1,558","3,184"
  당기순이익(지배),"1,388","2,141","1,361","1,533","3,177"
  당기순이익(비지배),404,350,315,25,7
자산총계,"41,095","45,027","43,571","40,602","49,238"
부채총계,"9,352","9,977","8,733","6,776","9,515"
자본총계,"31,743","35,050","34,838","33,826","39,723"
  자본총계(지배),"27,063","30,863","31,790","33,536","38,940"
  자본총계(비지배),"4,680",,"3,049",290,782
자본금,56,56,56,56,56
영업활동현금흐름,"3,467","3,581","3,714","1,669","2,924"
투자활동현금흐름,"-3,054","-3,870","1,468","-3,529","-2,362"
재무활동현금흐름,-93,-163,"-3,476",-74,293
CAPEX,685,817,828,"1,273",878
FCF,"2,782","2,764","2,886",396,"2,046"
이자발생부채,"1,005",970,"1,379","1,200","1,129"
영업이익률,8.27,10.66,8.49,3.08,13.71
순이익률,6.14,8.01,7.41,8.95,12.28
ROE(%),5.29,7.39,4.34,4.69,8.77
ROA(%),4.52,5.79,3.78,3.70,7.09
부채비율,29.46,28.46,25.07,20.03,23.96
자본유보율,"50,769.36","56,497.53","58,834.95","61,792.93","68,542.10"
EPS(원),"124,662","192,300","122,200","137,666","285,347"
PER(배),10.56,6.86,8.67,5.82,3.66
BPS(원),"3,215,563","3,667,047","3,777,146","3,984,589","4,626,787"
PBR(배),0.41,0.36,0.28,0.20,0.23
현금DPS(원),"1,925","3,000","1,550","1,550","1,750"
현금배당수익률,0.15,0.23,0.15,0.19,0.17
현금배당성향(%),1.17,1.18,0.96,0.85,0.46
발행주식수(보통주),"1,113,400","1,113,400","1,113,400","1,113,400","1,113,400"
