주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,950","1,864","2,205","2,085","1,961"
영업이익,30,-22,100,4,-139
영업이익(발표기준),30,-22,100,4,-139
세전계속사업이익,28,-67,94,2,-141
당기순이익,19,-61,50,-1,-116
  당기순이익(지배),19,-61,50,-1,-116
  당기순이익(비지배),,,,,
자산총계,"2,038","1,961","2,004","1,881","1,941"
부채총계,842,845,847,737,892
자본총계,"1,196","1,116","1,158","1,144","1,049"
  자본총계(지배),"1,196","1,116","1,158","1,144","1,049"
  자본총계(비지배),,,,,
자본금,914,914,914,914,914
영업활동현금흐름,32,13,93,145,84
투자활동현금흐름,43,26,-103,-57,-116
재무활동현금흐름,-50,-63,-1,-91,33
CAPEX,106,44,101,61,111
FCF,-74,-31,-8,84,-27
이자발생부채,182,123,146,73,131
영업이익률,1.55,-1.17,4.53,0.18,-7.08
순이익률,0.96,-3.27,2.28,-0.06,-5.91
ROE(%),1.65,-5.28,4.42,-0.12,-10.56
ROA(%),0.93,-3.05,2.54,-0.07,-6.06
부채비율,70.37,75.72,73.17,64.38,85.05
자본유보율,30.66,21.87,26.58,25.14,14.70
EPS(원),10,-33,28,-1,-63
PER(배),858.75,N/A,241.07,N/A,N/A
BPS(원),654,610,633,626,573
PBR(배),13.42,9.73,10.48,12.85,9.22
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"182,892,731","182,892,731","182,892,731","182,892,731","182,892,731"
