주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"63,589","68,592","49,311","44,123","64,945","95,202","86,978","84,954"
영업이익,977,"1,030","1,896","1,902","1,055","1,998","1,900","1,975"
영업이익(발표기준),977,"1,030","1,896","1,902","1,055",,,
세전계속사업이익,"1,223",235,905,"4,078","3,296","2,586","2,560","3,107"
당기순이익,"1,499",554,"1,541","2,654","2,493","1,968","1,910","2,294"
  당기순이익(지배),"1,021",598,"1,589","2,654","2,493","1,968","1,910","2,294"
  당기순이익(비지배),478,-43,-48,,,,,
자산총계,"43,517","37,556","40,824","44,989","51,215","56,592","59,137","63,232"
부채총계,"25,683","21,128","24,216","26,002","30,042","33,892","34,948","37,168"
자본총계,"17,834","16,428","16,608","18,987","21,174","22,700","24,188","26,064"
  자본총계(지배),"14,973","15,662","16,608","18,987","21,174","22,700","24,188","26,064"
  자본총계(비지배),"2,862",,,,,,,
자본금,448,453,457,462,462,462,462,462
영업활동현금흐름,"-1,082",-944,"3,077","2,285","-3,890",902,"4,623","4,504"
투자활동현금흐름,977,"-2,991",-448,"-4,904",-595,"-2,214","-2,856","-3,854"
재무활동현금흐름,799,"2,066","-2,123","2,577","4,786","2,028",-326,294
CAPEX,"1,067","2,272","1,103",786,"1,906","1,327","1,772","1,850"
FCF,"-2,149","-3,216","1,974","1,499","-5,797",-367,"3,020","2,671"
이자발생부채,"18,370","11,667","15,886","18,971","24,921",,,
영업이익률,1.54,1.50,3.84,4.31,1.62,2.10,2.19,2.33
순이익률,2.36,0.81,3.13,6.01,3.84,2.07,2.20,2.70
ROE(%),7.07,3.90,9.85,14.91,12.41,8.97,8.15,9.13
ROA(%),3.56,1.37,3.93,6.18,5.18,3.65,3.30,3.75
부채비율,144.01,128.61,145.81,136.94,141.88,149.30,144.49,142.60
자본유보율,"3,086.43","3,122.17","3,606.85","4,087.44","4,542.95",,,
EPS(원),"11,060","6,474","17,212","28,748","27,005","21,318","20,696","24,848"
PER(배),8.37,10.82,4.92,3.64,4.72,6.00,6.18,5.15
BPS(원),"167,479","175,238","185,881","211,555","235,917","252,921","269,503","290,400"
PBR(배),0.55,0.40,0.46,0.49,0.54,0.51,0.47,0.44
현금DPS(원),"2,526","2,943","2,971","4,000","5,100","4,825","4,825","4,725"
현금배당수익률,2.73,4.20,3.51,3.83,4.00,3.77,3.77,3.69
현금배당성향(%),22.10,43.98,16.71,13.53,18.36,22.63,23.31,19.02
발행주식수(보통주),"9,230,244","9,230,244","9,230,244","9,230,244","9,230,244",,,
