주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,376,408,347,273,275
영업이익,-114,-10,-153,-194,-150
영업이익(발표기준),-114,-10,-153,-194,-150
세전계속사업이익,-114,7,-178,-215,-134
당기순이익,-114,7,-178,-215,-134
  당기순이익(지배),-114,7,-178,-215,-134
  당기순이익(비지배),,,,,
자산총계,579,641,556,614,474
부채총계,252,298,385,470,267
자본총계,327,343,171,144,207
  자본총계(지배),327,343,171,144,207
  자본총계(비지배),,,,,
자본금,138,138,138,157,240
영업활동현금흐름,-110,-79,-89,-100,-174
투자활동현금흐름,51,-4,12,31,339
재무활동현금흐름,60,67,78,95,-180
CAPEX,13,3,3,3,3
FCF,-123,-82,-92,-103,-177
이자발생부채,94,155,207,284,123
영업이익률,-30.37,-2.40,-44.05,-71.18,-54.41
순이익률,-30.26,1.76,-51.38,-78.94,-48.66
ROE(%),-29.59,2.14,-69.31,-136.56,-76.24
ROA(%),-18.68,1.18,-29.78,-37.09,-24.58
부채비율,77.12,86.76,225.08,327.34,129.00
자본유보율,247.39,254.02,125.15,-19.59,35.77
EPS(원),"-2,056",130,"-3,223","-3,868","-1,822"
PER(배),N/A,27.92,N/A,N/A,N/A
BPS(원),"6,949","7,061","3,417","2,291","2,159"
PBR(배),0.60,0.51,0.93,1.99,1.95
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"5,530,735","5,530,735","5,530,735","6,281,748","9,611,224"
