주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"7,015","8,982","11,554","11,722","11,449","12,760","15,100"
영업이익,256,318,555,482,613,820,"1,070"
영업이익(발표기준),256,318,555,482,613,,
세전계속사업이익,"1,119",590,729,476,979,860,"1,210"
당기순이익,963,739,598,443,"1,165",680,940
  당기순이익(지배),963,739,598,444,"1,171",680,940
  당기순이익(비지배),,,0,-1,-6,,
자산총계,"6,316","7,138","8,919","9,542","12,620","11,750","12,570"
부채총계,"3,275","3,519","4,713","4,944","7,023","5,720","5,660"
자본총계,"3,041","3,619","4,206","4,599","5,597","6,030","6,910"
  자본총계(지배),"3,041","3,619","4,203","4,595","5,600","6,030","6,920"
  자본총계(비지배),,,3,3,-3,,
자본금,"1,054","1,055","1,103","1,146","1,148","1,150","1,150"
영업활동현금흐름,-85,589,483,-410,-515,700,910
투자활동현금흐름,604,"-1,229",378,-514,-503,-50,60
재무활동현금흐름,-900,-66,173,68,"1,294",-220,-270
CAPEX,7,5,297,16,36,110,120
FCF,-92,584,186,-426,-551,590,780
이자발생부채,73,67,939,"2,268","3,377",,
영업이익률,3.65,3.54,4.80,4.11,5.35,6.43,7.09
순이익률,13.73,8.23,5.18,3.78,10.17,5.33,6.22
ROE(%),34.56,22.21,15.29,10.10,22.97,11.69,14.52
ROA(%),14.66,10.99,7.45,4.80,10.51,5.58,7.73
부채비율,107.71,97.23,112.06,107.51,125.50,94.86,81.91
자본유보율,313.93,382.60,437.38,478.71,563.52,,
EPS(원),"4,571","3,507","2,803","1,973","5,102","2,944","4,069"
PER(배),2.21,2.06,3.05,6.87,2.86,4.31,3.12
BPS(원),"14,429","17,161","19,063","20,046","24,388","26,109","29,963"
PBR(배),0.70,0.42,0.45,0.68,0.60,0.49,0.42
현금DPS(원),0,300,700,900,900,900,900
현금배당수익률,0.00,4.15,8.20,6.64,6.16,7.09,7.09
현금배당성향(%),0.00,8.57,25.82,46.48,17.66,30.28,21.90
발행주식수(보통주),"20,853,553","20,867,152","21,824,400","22,702,024","22,738,844",,
