주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,996","1,909","2,189","2,882","2,683"
영업이익,-73,-62,-16,46,72
영업이익(발표기준),-73,-62,-16,46,72
세전계속사업이익,-97,-96,-19,87,146
당기순이익,-78,-66,-13,65,110
  당기순이익(지배),-78,-66,-13,65,110
  당기순이익(비지배),,,,,
자산총계,"2,308","2,279","2,998","3,321","3,394"
부채총계,"1,164","1,263","1,845","1,946","1,971"
자본총계,"1,144","1,016","1,153","1,375","1,423"
  자본총계(지배),"1,144","1,016","1,153","1,375","1,423"
  자본총계(비지배),,,,,
자본금,55,55,55,55,55
영업활동현금흐름,-111,39,252,340,148
투자활동현금흐름,-6,-15,4,-52,-31
재무활동현금흐름,69,65,-57,-108,-112
CAPEX,6,5,5,8,6
FCF,-117,34,246,332,143
이자발생부채,442,518,492,425,331
영업이익률,-3.63,-3.27,-0.74,1.59,2.67
순이익률,-3.92,-3.48,-0.58,2.25,4.12
ROE(%),-6.60,-6.14,-1.17,5.12,7.89
ROA(%),-3.30,-2.89,-0.48,2.05,3.29
부채비율,101.78,124.24,160.06,141.52,138.52
자본유보율,"1,920.04","1,756.35","2,005.58","2,092.26","2,179.70"
EPS(원),-714,-606,-116,591,"1,008"
PER(배),N/A,N/A,N/A,8.33,7.09
BPS(원),"10,446","9,282","10,528","13,217","13,678"
PBR(배),0.49,0.59,0.37,0.37,0.52
현금DPS(원),100,100,100,100,100
현금배당수익률,1.95,1.82,2.55,2.03,1.40
현금배당성향(%),-14.01,-16.50,-86.18,16.08,9.43
발행주식수(보통주),"10,950,000","10,950,000","10,950,000","10,950,000","10,950,000"
