주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,014",636,592,450,416
영업이익,-77,-243,-33,-64,-86
영업이익(발표기준),-77,-243,-33,-64,-86
세전계속사업이익,-216,-417,-194,-96,-117
당기순이익,-202,-209,-332,-243,-99
  당기순이익(지배),-185,-181,-325,-243,-98
  당기순이익(비지배),-17,-28,-7,0,-1
자산총계,"4,099","1,703",731,678,838
부채총계,"2,716","1,356",562,635,655
자본총계,"1,383",347,169,42,184
  자본총계(지배),623,493,318,164,305
  자본총계(비지배),759,,-150,-122,-122
자본금,346,349,51,60,103
영업활동현금흐름,142,-22,-85,-4,-119
투자활동현금흐름,-15,591,644,24,-265
재무활동현금흐름,-116,-267,-582,42,393
CAPEX,33,36,2,9,7
FCF,110,-58,-87,-14,-125
이자발생부채,"2,219","1,029",373,359,558
영업이익률,-7.64,-38.16,-5.59,-14.27,-20.56
순이익률,-19.91,-32.90,-56.13,-54.09,-23.74
ROE(%),-22.42,-32.49,-80.13,-100.97,-41.79
ROA(%),-4.64,-7.22,-27.31,-34.56,-13.04
부채비율,196.45,390.87,333.73,"1,498.45",356.63
자본유보율,159.34,106.99,"1,227.26",779.50,734.04
EPS(원),"-2,645","-2,600","-3,534","-2,170",-631
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"10,200","8,072","3,383","1,476","1,541"
PBR(배),0.70,0.82,1.27,2.20,2.30
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"6,976,568","6,976,569","10,266,660","11,981,820","20,670,065"
