주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"5,013","4,803","4,908","1,845",851,"2,433","4,805","5,552"
영업이익,"1,082","1,051",968,-888,"-1,458",-395,949,"1,299"
영업이익(발표기준),"1,082","1,051",968,-888,"-1,458",,,
세전계속사업이익,"1,073","1,040",957,-811,"-1,473",-374,952,"1,324"
당기순이익,805,777,724,-643,"-1,133",-281,712,976
  당기순이익(지배),805,777,724,-643,"-1,133",-281,712,976
  당기순이익(비지배),,,,,,,,
자산총계,"7,319","7,658","9,094","7,084","5,313","5,220","5,950","7,048"
부채총계,"1,999","2,037","3,243","2,221","1,478","1,749","1,849","2,033"
자본총계,"5,321","5,621","5,852","4,864","3,835","3,494","4,068","4,851"
  자본총계(지배),"5,321","5,621","5,852","4,864","3,835","3,494","4,068","4,851"
  자본총계(비지배),,,,,,,,
자본금,309,309,309,309,309,309,309,309
영업활동현금흐름,784,928,"1,176","-1,390","-1,282",-20,935,"1,338"
투자활동현금흐름,-826,-419,-516,"1,641","1,479",-250,-302,-258
재무활동현금흐름,-615,-453,-650,-551,-233,-43,-206,-348
CAPEX,95,79,55,62,12,242,163,162
FCF,690,850,"1,121","-1,452","-1,295",-212,855,"1,192"
이자발생부채,4,2,984,970,582,,,
영업이익률,21.58,21.87,19.73,-48.15,-171.39,-16.25,19.74,23.39
순이익률,16.07,16.18,14.75,-34.87,-133.13,-11.54,14.81,17.58
ROE(%),15.33,,12.62,-12.01,-26.04,-7.66,18.82,21.89
ROA(%),11.02,,8.64,-7.95,-18.27,-5.33,12.74,15.02
부채비율,37.56,36.23,55.41,45.65,38.52,50.05,45.46,41.90
자본유보율,"1,620.30","1,717.41","1,792.06","1,472.66","1,140.14",,,
EPS(원),"1,302","1,257","1,170","-1,040","-1,831",-454,"1,150","1,578"
PER(배),22.46,19.81,16.62,N/A,N/A,N/A,12.65,9.22
BPS(원),"8,602","9,087","9,460","7,863","6,201","5,649","6,576","7,843"
PBR(배),3.40,2.74,2.06,2.12,2.12,2.58,2.21,1.86
현금DPS(원),730,710,659,,,174,522,560
현금배당수익률,2.50,2.85,3.39,,,1.20,3.59,3.85
현금배당성향(%),56.07,56.49,56.31,0.00,,-38.37,45.42,35.48
발행주식수(보통주),"61,855,670","61,855,670","61,855,670","61,855,670","61,855,670",,,
