주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"11,983","12,625","10,293","9,203","10,826"
영업이익,266,344,49,399,65
영업이익(발표기준),266,344,49,399,65
세전계속사업이익,277,245,16,"1,027",23
당기순이익,232,190,-3,826,35
  당기순이익(지배),224,185,-3,822,37
  당기순이익(비지배),8,5,0,4,-2
자산총계,"9,003","9,581","8,772","8,729","8,434"
부채총계,"4,930","5,500","4,810","3,971","3,756"
자본총계,"4,073","4,081","3,961","4,758","4,678"
  자본총계(지배),"4,016","4,052","3,935","4,712","4,669"
  자본총계(비지배),58,29,26,46,9
자본금,"1,725","1,725","1,725","1,725","1,725"
영업활동현금흐름,746,420,-117,893,-144
투자활동현금흐름,-247,-588,-597,"1,421",-612
재무활동현금흐름,-485,-63,621,-866,-525
CAPEX,438,461,682,505,568
FCF,308,-41,-799,389,-713
이자발생부채,"2,066","2,179","2,934","2,075","1,814"
영업이익률,2.22,2.72,0.47,4.33,0.60
순이익률,1.93,1.50,-0.03,8.98,0.32
ROE(%),5.64,4.58,-0.07,19.01,0.78
ROA(%),2.55,2.04,-0.03,9.44,0.41
부채비율,121.02,134.75,121.44,83.46,80.28
자본유보율,145.02,147.18,141.00,185.40,178.62
EPS(원),649,536,-8,"2,382",106
PER(배),15.56,14.02,N/A,3.46,81.09
BPS(원),"12,201","12,312","11,958","14,318","14,188"
PBR(배),0.83,0.61,0.51,0.58,0.61
현금DPS(원),300,300,150,300,300
현금배당수익률,2.97,3.99,2.46,3.64,3.49
현금배당성향(%),44.08,53.43,"-1,753.18",12.01,270.14
발행주식수(보통주),"34,500,000","34,500,000","34,500,000","34,500,000","34,500,000"
