주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"3,148","3,061","2,644","2,659","4,878","4,160","4,410"
영업이익,736,365,108,94,968,756,780
영업이익(발표기준),736,365,108,94,968,,
세전계속사업이익,763,405,196,84,"2,008",760,790
당기순이익,677,355,242,131,"1,738",640,660
  당기순이익(지배),670,350,240,137,"1,727",640,660
  당기순이익(비지배),7,4,2,-6,10,,
자산총계,"8,185","8,793","9,386","9,753","10,520","12,420","13,130"
부채총계,"1,353","1,659","2,163","2,474","1,557","2,980","3,100"
자본총계,"6,832","7,134","7,223","7,279","8,963","9,440","10,030"
  자본총계(지배),"6,724","7,033","7,125","7,187","8,860","9,330","9,920"
  자본총계(비지배),107,,98,92,103,,
자본금,452,452,452,452,614,450,450
영업활동현금흐름,220,-110,-166,-95,-126,680,770
투자활동현금흐름,-287,-226,184,-376,909,-570,-570
재무활동현금흐름,41,237,165,329,-609,-200,0
CAPEX,187,241,437,353,523,350,350
FCF,34,-351,-603,-448,-649,330,420
이자발생부채,430,676,863,"1,205",606,,
영업이익률,23.39,11.94,4.08,3.54,19.85,18.17,17.69
순이익률,21.51,11.59,9.14,4.92,35.62,15.38,14.97
ROE(%),10.27,5.09,3.39,1.92,21.53,7.04,6.86
ROA(%),8.56,4.18,2.66,1.37,17.14,5.58,5.17
부채비율,19.80,23.26,29.95,33.99,17.37,31.57,30.91
자본유보율,"1,517.84","1,584.19","1,596.14","1,622.29","1,410.00",,
EPS(원),"8,555","4,469","2,108","1,205","16,510","6,148","6,340"
PER(배),6.14,8.22,11.09,16.28,1.71,4.75,4.61
BPS(원),"66,962","70,038","70,954","71,568","91,007","97,314","103,468"
PBR(배),0.54,0.36,0.33,0.27,0.31,0.30,0.28
현금DPS(원),"1,239","1,170",963,826,"1,400","1,400","1,400"
현금배당수익률,3.43,4.63,4.12,4.21,4.95,4.79,4.79
현금배당성향(%),17.43,31.52,37.88,56.78,7.89,22.77,22.08
발행주식수(보통주),"7,835,167","7,835,167","7,835,167","7,835,167","10,409,528",,
