주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,419,465,446,483,549
영업이익,-69,-48,-65,-100,-181
영업이익(발표기준),-69,-48,-65,-100,-181
세전계속사업이익,-110,-20,71,-399,-403
당기순이익,-75,-21,69,-399,-403
  당기순이익(지배),-75,-21,69,-399,-403
  당기순이익(비지배),0,,,,
자산총계,"1,542","1,606","1,685","1,787","1,455"
부채총계,603,290,257,568,182
자본총계,939,"1,317","1,428","1,219","1,273"
  자본총계(지배),939,"1,317","1,428","1,219","1,273"
  자본총계(비지배),,,,,
자본금,207,291,295,308,336
영업활동현금흐름,52,-65,-24,-26,-72
투자활동현금흐름,-223,-66,86,-66,190
재무활동현금흐름,194,133,-43,306,-122
CAPEX,61,26,139,72,36
FCF,-10,-91,-163,-97,-107
이자발생부채,454,185,128,281,21
영업이익률,-16.41,-10.29,-14.52,-20.81,-33.04
순이익률,-17.99,-4.46,15.45,-82.61,-73.36
ROE(%),-8.56,-1.84,4.99,-30.13,-32.33
ROA(%),-5.16,-1.32,4.18,-22.97,-24.85
부채비율,64.27,22.01,18.00,46.60,14.29
자본유보율,238.98,271.06,295.89,182.20,242.03
EPS(원),-170,-39,117,-652,-607
PER(배),N/A,N/A,35.71,N/A,N/A
BPS(원),"2,038","2,263","2,423","1,982","1,896"
PBR(배),1.81,1.12,1.73,3.05,2.60
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"46,102,208","58,235,047","58,994,130","61,549,713","67,162,079"
