주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"8,715","16,065","14,227","10,868","14,572"
영업이익,217,427,281,181,271
영업이익(발표기준),217,427,281,181,271
세전계속사업이익,232,442,320,249,297
당기순이익,178,342,246,190,222
  당기순이익(지배),178,341,245,190,221
  당기순이익(비지배),0,1,1,0,0
자산총계,"7,103","7,783","7,500","6,997","9,045"
부채총계,"4,159","4,578","4,104","3,430","5,291"
자본총계,"2,943","3,205","3,396","3,567","3,754"
  자본총계(지배),"2,938","3,201","3,392","3,564","3,751"
  자본총계(비지배),5,,4,2,3
자본금,118,118,147,147,147
영업활동현금흐름,194,"1,207",340,3,"1,387"
투자활동현금흐름,-542,-585,-465,-249,-366
재무활동현금흐름,-9,-49,-62,-100,-69
CAPEX,237,335,326,224,249
FCF,-43,873,14,-220,"1,139"
이자발생부채,149,138,263,227,219
영업이익률,2.49,2.66,1.97,1.67,1.86
순이익률,2.04,2.13,1.73,1.75,1.52
ROE(%),,11.11,7.45,5.46,6.05
ROA(%),,4.59,3.22,2.62,2.76
부채비율,141.32,142.84,120.84,96.16,140.93
자본유보율,"2,393.05","2,615.41","2,202.70","2,304.53","2,420.16"
EPS(원),"4,002","5,785","4,163","3,221","3,753"
PER(배),7.25,4.60,5.10,5.77,6.02
BPS(원),"49,875","54,325","57,586","60,510","63,687"
PBR(배),0.58,0.49,0.37,0.31,0.35
현금DPS(원),600,700,875,875,875
현금배당수익률,2.07,2.63,4.12,4.70,3.87
현금배당성향(%),19.89,12.09,21.00,27.14,23.30
발행주식수(보통주),"5,895,406","5,895,406","5,895,406","5,895,406","5,895,406"
