주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS별도)"
매출액,"5,617","6,536","6,332","1,899","1,765"
영업이익,345,206,-378,"-1,887","-2,040"
영업이익(발표기준),345,206,-378,"-1,887","-2,040"
세전계속사업이익,371,236,-959,"-1,698","-3,526"
당기순이익,285,203,-729,"-1,285","-2,660"
  당기순이익(지배),285,203,-729,"-1,285","-2,660"
  당기순이익(비지배),,,,0,
자산총계,"2,685","3,027","9,858","10,345","10,097"
부채총계,"1,463","1,504","8,777","9,242","8,792"
자본총계,"1,222","1,523","1,081","1,103","1,305"
  자본총계(지배),"1,222","1,523","1,081","1,103","1,305"
  자본총계(비지배),,,,0,
자본금,500,521,521,821,"1,939"
영업활동현금흐름,664,250,"1,125","-1,162",-691
투자활동현금흐름,-663,-142,-563,304,"-1,269"
재무활동현금흐름,-98,124,-492,834,"1,529"
CAPEX,356,101,871,231,827
FCF,308,149,254,"-1,393","-1,517"
이자발생부채,0,0,"4,966","5,266","5,338"
영업이익률,6.14,3.15,-5.98,-99.35,-115.56
순이익률,5.07,3.10,-11.52,-67.65,-150.68
ROE(%),25.25,14.79,-56.00,,-220.90
ROA(%),11.98,7.11,-11.32,,-26.02
부채비율,119.78,98.76,811.83,838.17,673.56
자본유보율,178.19,205.12,120.25,42.37,-60.24
EPS(원),396,282,-974,"-1,685","-2,136"
PER(배),,15.15,N/A,N/A,N/A
BPS(원),"1,700","2,038","1,447","1,024",674
PBR(배),0.00,2.10,2.86,2.50,3.36
현금DPS(원),70,70,0,0,
현금배당수익률,,1.63,0.00,0.00,
현금배당성향(%),16.51,25.60,0.00,0.00,
발행주식수(보통주),"71,862,048","74,837,137","74,837,137","107,826,555","193,920,000"
