주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,299,391,363,339,453
영업이익,-21,-89,-49,-1,-6
영업이익(발표기준),-21,-89,-49,-1,-6
세전계속사업이익,-38,-91,-142,-11,-18
당기순이익,-47,-101,-136,-13,-18
  당기순이익(지배),-47,-101,-136,-13,-18
  당기순이익(비지배),,,,,
자산총계,849,603,485,465,502
부채총계,286,152,163,164,221
자본총계,563,452,322,300,281
  자본총계(지배),563,452,322,300,281
  자본총계(비지배),,,,,
자본금,57,57,57,57,57
영업활동현금흐름,-29,-30,3,-5,-39
투자활동현금흐름,-4,143,-5,-3,-6
재무활동현금흐름,28,-114,3,9,43
CAPEX,7,6,4,3,7
FCF,-36,-36,-1,-8,-46
이자발생부채,228,114,121,130,172
영업이익률,-6.98,-22.68,-13.52,-0.38,-1.31
순이익률,-15.79,-25.86,-37.40,-3.93,-4.01
ROE(%),-7.94,-19.94,-35.06,-4.28,-6.26
ROA(%),-6.31,-13.93,-24.92,-2.81,-3.76
부채비율,50.73,33.62,50.59,54.80,78.87
자본유보율,917.98,726.36,484.76,462.38,428.76
EPS(원),-418,-895,"-1,199",-118,-161
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"5,056","4,052","2,890","2,693","2,518"
PBR(배),0.45,0.39,0.65,0.58,2.11
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"11,309,259","11,309,259","11,309,259","11,309,259","11,309,259"
