주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"2,105","2,198","2,118","2,003","2,414"
영업이익,300,310,257,310,380
영업이익(발표기준),300,310,257,310,380
세전계속사업이익,315,324,274,332,393
당기순이익,242,250,210,210,290
  당기순이익(지배),242,250,210,210,290
  당기순이익(비지배),,,,,
자산총계,"1,309","1,446","1,411","1,486","1,657"
부채총계,315,450,432,505,562
자본총계,994,996,979,981,"1,096"
  자본총계(지배),994,996,979,981,"1,096"
  자본총계(비지배),,,,,
자본금,70,70,70,70,70
영업활동현금흐름,197,299,258,425,247
투자활동현금흐름,79,-3,-24,-185,-37
재무활동현금흐름,-221,-247,-225,-212,-185
CAPEX,22,66,69,39,19
FCF,174,233,189,386,228
이자발생부채,0,0,6,1,9
영업이익률,14.27,14.12,12.12,15.47,15.76
순이익률,11.52,11.36,9.93,10.49,12.03
ROE(%),24.64,25.09,21.30,21.44,27.97
ROA(%),19.10,18.12,14.72,14.50,18.48
부채비율,31.68,45.25,44.11,51.46,51.26
자본유보율,"1,320.61","1,322.16","1,298.85","1,301.65","1,465.07"
EPS(원),"18,649","19,200","16,174","16,162","22,343"
PER(배),20.59,17.53,19.97,15.99,11.52
BPS(원),"76,494","76,578","75,323","75,474","84,273"
PBR(배),5.02,4.39,4.29,3.43,3.06
현금DPS(원),"17,000","19,000","16,000","14,000","19,000"
현금배당수익률,4.43,5.65,4.95,5.42,7.38
현금배당성향(%),91.16,98.96,98.92,86.62,85.04
발행주식수(보통주),"1,300,000","1,300,000","1,300,000","1,300,000","1,300,000"
