주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"5,916","5,358","5,434","9,021","14,242","17,470","20,426","22,510"
영업이익,111,-179,139,134,851,"1,588","1,951","1,950"
영업이익(발표기준),111,-179,139,134,851,,,
세전계속사업이익,378,-279,78,34,895,"1,806","2,220","2,000"
당기순이익,296,-279,21,-118,722,"1,364","1,678","1,500"
  당기순이익(지배),234,-357,7,116,562,"1,084","1,320","1,350"
  당기순이익(비지배),62,79,14,-233,160,,,
자산총계,"5,565","5,005","4,797","9,217","10,646","22,684","28,229","15,660"
부채총계,"1,411","1,127",884,"3,554","4,126","14,736","18,935","5,350"
자본총계,"4,154","3,878","3,913","5,663","6,520","7,949","9,294","10,310"
  자본총계(지배),"3,671","3,316","3,403","3,430","4,067","5,176","6,496","7,890"
  자본총계(비지배),483,,510,"2,233","2,453",,,
자본금,137,137,137,137,137,138,138,140
영업활동현금흐름,348,100,472,188,668,"7,185","5,488","1,540"
투자활동현금흐름,-508,-31,-207,-558,-790,-658,-424,-290
재무활동현금흐름,6,-102,-319,445,-62,-117,-132,20
CAPEX,362,149,29,263,504,"1,000",500,
FCF,-15,-49,443,-74,164,"7,000","5,418","1,430"
이자발생부채,417,315,4,"1,143","1,093",,,
영업이익률,1.87,-3.34,2.55,1.49,5.98,9.09,9.55,8.66
순이익률,5.01,-5.20,0.39,-1.31,5.07,7.81,8.21,6.66
ROE(%),6.54,-10.23,0.21,3.39,14.99,23.46,22.62,18.77
ROA(%),5.50,-5.27,0.43,-1.68,7.27,8.19,6.59,6.83
부채비율,33.98,29.07,22.59,62.75,63.29,185.38,203.73,51.89
자본유보율,"2,592.46","2,330.66","2,389.22","2,428.98","2,853.84",,,
EPS(원),855,"-1,306",25,423,"2,053","3,961","4,823","4,933"
PER(배),15.43,N/A,475.20,35.25,15.19,7.49,6.15,6.01
BPS(원),"13,413","12,117","12,434","12,532","14,860","18,912","23,737","28,828"
PBR(배),0.98,0.42,0.96,1.19,2.10,1.57,1.25,1.03
현금DPS(원),,,,,,0,0,0
현금배당수익률,,,,,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"23,620,751","23,620,751","23,620,751","23,620,751","23,620,751",,,
