주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,297","1,320",526,305,205
영업이익,223,71,-520,-123,-173
영업이익(발표기준),223,71,-520,-123,-173
세전계속사업이익,233,3,-865,-186,-387
당기순이익,271,-14,-893,-221,-398
  당기순이익(지배),271,-12,-844,-218,-386
  당기순이익(비지배),,-2,-48,-3,-12
자산총계,"1,532","2,149","1,239",879,799
부채총계,258,883,706,281,197
자본총계,"1,274","1,266",533,598,601
  자본총계(지배),"1,274","1,264",541,610,598
  자본총계(비지배),,,-9,-11,4
자본금,132,133,142,185,372
영업활동현금흐름,-206,-316,35,-50,-35
투자활동현금흐름,127,-285,107,193,-163
재무활동현금흐름,93,639,-211,-142,266
CAPEX,397,88,7,4,2
FCF,-603,-403,28,-55,-37
이자발생부채,180,715,519,195,86
영업이익률,17.19,5.41,-98.85,-40.19,-84.17
순이익률,20.87,-1.10,-169.63,-72.27,-193.87
ROE(%),25.32,,-93.55,-37.83,-63.88
ROA(%),20.17,,-52.69,-20.83,-47.45
부채비율,20.26,69.73,132.65,46.90,32.84
자본유보율,915.06,908.96,310.94,251.64,68.19
EPS(원),779,-34,"-2,271",-459,-649
PER(배),13.95,N/A,N/A,N/A,N/A
BPS(원),"3,496","3,461","1,374","1,190",803
PBR(배),3.11,2.29,2.26,1.47,1.28
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"36,748,774","36,808,049","39,386,617","51,219,827","74,422,604"
