주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,157,132,300,354,450
영업이익,-5,-40,57,-142,-133
영업이익(발표기준),-5,-40,57,-142,-133
세전계속사업이익,-8,-128,-111,-307,-138
당기순이익,-7,-119,-229,-296,-131
  당기순이익(지배),-7,-113,-229,-288,-106
  당기순이익(비지배),,-6,0,-8,-25
자산총계,749,"1,600","1,294","1,308","1,639"
부채총계,121,876,483,571,505
자본총계,628,724,811,736,"1,134"
  자본총계(지배),628,688,757,658,"1,076"
  자본총계(비지배),,36,54,78,57
자본금,96,113,142,164,210
영업활동현금흐름,6,6,-64,-130,-60
투자활동현금흐름,-187,-618,164,-81,-380
재무활동현금흐름,169,816,-131,172,380
CAPEX,41,25,5,83,9
FCF,-35,-19,-70,-213,-69
이자발생부채,84,624,262,338,357
영업이익률,-2.98,-30.53,18.99,-40.09,-29.62
순이익률,-4.71,-90.01,-76.16,-83.58,-29.04
ROE(%),-1.38,,-31.73,-40.69,-12.23
ROA(%),-1.11,,-15.80,-22.73,-8.88
부채비율,19.22,121.12,59.62,77.63,44.55
자본유보율,548.62,509.91,435.34,343.81,416.92
EPS(원),-43,-546,-937,-910,-276
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"3,277","3,056","2,662","2,013","2,559"
PBR(배),1.30,2.00,3.04,2.68,8.52
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"19,181,100","22,510,021","28,434,137","32,699,622","42,065,837"
