주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"2,057","1,810","1,720","1,135","1,146"
영업이익,-19,-50,-3,-255,-135
영업이익(발표기준),-19,-50,-3,-255,-135
세전계속사업이익,-38,-40,-41,-432,-100
당기순이익,-55,-78,-57,-396,-92
  당기순이익(지배),-55,-76,-54,-379,-69
  당기순이익(비지배),,-2,-3,-17,-23
자산총계,"1,997","2,042","2,409","1,942","2,021"
부채총계,855,987,"1,423","1,270","1,068"
자본총계,"1,142","1,055",986,673,953
  자본총계(지배),"1,142","1,052",988,627,915
  자본총계(비지배),,,-2,46,38
자본금,35,35,35,35,48
영업활동현금흐름,-19,-139,18,-81,-7
투자활동현금흐름,-520,-67,140,-142,-22
재무활동현금흐름,408,139,177,-149,-5
CAPEX,324,194,63,33,23
FCF,-343,-333,-45,-114,-30
이자발생부채,411,575,"1,036",930,765
영업이익률,-0.93,-2.78,-0.16,-22.50,-11.80
순이익률,-2.68,-4.31,-3.31,-34.90,-8.05
ROE(%),-4.56,-6.89,-5.33,-46.89,-9.01
ROA(%),-2.89,-3.86,-2.56,-18.20,-4.66
부채비율,74.86,93.50,144.35,188.72,112.08
자본유보율,"3,241.31","2,985.51","2,781.66","1,784.95","1,892.12"
EPS(원),-288,-396,-285,"-1,982",-354
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"6,027","5,556","5,214","3,310","3,829"
PBR(배),2.76,1.91,1.89,2.54,1.23
현금DPS(원),46,92,0,0,
현금배당수익률,0.28,0.87,0.00,0.00,
현금배당성향(%),-5.29,-15.64,0.00,0.00,
발행주식수(보통주),"19,096,359","19,096,359","19,096,359","19,096,359","24,054,799"
