주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"50,648","55,849","49,615","48,095","84,618","83,948","79,590","79,506"
영업이익,"2,626","5,546","3,654","7,422","24,068","14,707","13,233","13,786"
영업이익(발표기준),"2,626","5,546","3,654","7,422","24,068",,,
세전계속사업이익,"2,898","6,169","3,769","7,669","26,181","15,897","14,350","15,153"
당기순이익,"2,176","5,031","2,947","5,830","19,656","11,887","10,755","11,354"
  당기순이익(지배),"2,136","4,912","2,946","5,829","19,655","11,882","10,753","11,351"
  당기순이익(비지배),41,119,1,1,1,,,
자산총계,"45,798","46,167","45,380","50,273","81,157","87,317","95,482","106,092"
부채총계,"26,230","22,686","19,085","18,780","30,328","26,927","26,230","26,166"
자본총계,"19,568","23,481","26,296","31,492","50,829","60,390","69,252","79,925"
  자본총계(지배),"18,427","23,473","26,286","31,482","50,818","60,378","69,238","79,912"
  자본총계(비지배),"1,141",,9,10,11,,,
자본금,"1,675","1,675","1,675","1,675","1,675","1,671","1,671","1,671"
영업활동현금흐름,"4,210","4,846","5,577","7,715","21,270","12,124","12,640","13,167"
투자활동현금흐름,"-1,060","-1,907","-1,360","-2,000","-17,585","-3,689","-4,698","-5,332"
재무활동현금흐름,"-2,767","-4,264","-3,957","-2,785","-1,666","-4,336","-2,579","-1,894"
CAPEX,"1,060","1,341","1,727","1,754","3,538","3,278","3,576","3,596"
FCF,"3,151","3,505","3,850","5,961","17,733","9,588","7,883","8,272"
이자발생부채,"18,091","14,570","11,561","9,076","10,334",,,
영업이익률,5.18,9.93,7.36,15.43,28.44,17.52,16.63,17.34
순이익률,4.30,9.01,5.94,12.12,23.23,14.16,13.51,14.28
ROE(%),12.34,23.45,11.84,20.18,47.76,21.37,16.59,15.22
ROA(%),4.77,10.94,6.44,12.19,29.91,14.11,11.77,11.27
부채비율,134.05,96.61,72.58,59.64,59.67,44.59,37.88,32.74
자본유보율,996.98,"1,362.22","1,518.71","1,841.63","2,952.02",,,
EPS(원),"6,377","14,667","8,796","17,405","58,694","35,661","32,274","34,068"
PER(배),15.60,5.95,8.81,8.33,2.83,4.15,4.59,4.34
BPS(원),"66,048","84,137","94,221","112,845","181,037","218,266","250,296","288,883"
PBR(배),1.51,1.04,0.82,1.28,0.92,0.68,0.59,0.51
현금DPS(원),"1,000","1,350","1,500","4,200","10,000","8,605","7,950","7,000"
현금배당수익률,1.01,1.55,1.94,2.90,6.02,5.81,5.37,4.73
현금배당성향(%),12.78,7.47,13.87,19.87,14.29,21.94,22.40,18.68
발행주식수(보통주),"30,467,691","30,467,691","30,467,691","30,467,691","30,295,844",,,
