주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"6,903","7,075","7,697","7,833","8,819","9,888","10,632","11,509"
영업이익,534,505,528,506,616,761,914,"1,013"
영업이익(발표기준),534,505,528,506,616,,,
세전계속사업이익,471,"-1,731",387,"1,702",661,752,909,"1,014"
당기순이익,325,"-1,639",200,"1,624",605,648,750,838
  당기순이익(지배),325,"-1,640",198,"1,623",603,647,748,837
  당기순이익(비지배),,1,2,0,2,,,
자산총계,"14,594","12,419","13,586","15,111","16,914","17,812","18,855","20,122"
부채총계,"5,452","5,062","6,117","6,224","7,063","7,390","7,760","8,266"
자본총계,"9,142","7,358","7,469","8,887","9,850","10,422","11,094","11,856"
  자본총계(지배),"9,128","7,342","7,451","8,887","9,652","10,221","10,892","11,647"
  자본총계(비지배),15,,18,0,199,,,
자본금,307,307,307,308,317,318,318,318
영업활동현금흐름,845,583,968,846,"1,311","1,676","1,648","1,652"
투자활동현금흐름,-263,-751,"-1,161",-480,"-1,366","-1,046",-845,-857
재무활동현금흐름,273,-561,-17,-344,160,-326,-331,-330
CAPEX,250,251,449,519,701,500,300,300
FCF,595,332,518,326,610,"1,148","1,240","1,172"
이자발생부채,"3,985","3,709","4,685","4,879","5,376",,,
영업이익률,7.73,7.14,6.86,6.46,6.98,7.70,8.60,8.80
순이익률,4.71,-23.16,2.60,20.73,6.86,6.55,7.05,7.29
ROE(%),3.64,-19.91,2.67,19.87,6.50,6.51,7.09,7.43
ROA(%),2.27,-12.13,1.54,11.32,3.78,3.73,4.09,4.30
부채비율,59.63,68.80,81.89,70.03,71.71,70.92,69.95,69.72
자본유보율,"3,331.15","2,757.08","2,778.60","3,275.11","3,414.36",,,
EPS(원),"5,310","-26,714","3,220","26,439","9,615","10,191","11,789","13,183"
PER(배),24.11,N/A,33.39,4.63,11.96,10.16,8.78,7.85
BPS(원),"148,700","119,609","121,392","146,721","154,410","163,517","174,260","186,330"
PBR(배),0.86,0.91,0.89,0.83,0.74,0.63,0.59,0.56
현금DPS(원),"1,000","1,000","1,000","1,000","1,500","1,500","1,500","1,500"
현금배당수익률,0.78,0.92,0.93,0.82,1.30,1.45,1.45,1.45
현금배당성향(%),18.86,-3.74,31.06,3.73,15.56,14.72,12.72,11.38
발행주식수(보통주),"6,138,228","6,138,294","6,138,297","6,155,346","6,348,802",,,
