주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"6,079","6,512","6,313","5,279","6,137","7,280","7,360"
영업이익,447,"1,022",494,63,294,490,530
영업이익(발표기준),447,"1,022",494,63,294,,
세전계속사업이익,488,936,245,-55,260,450,470
당기순이익,365,698,104,-76,197,350,360
  당기순이익(지배),365,698,101,-86,186,340,350
  당기순이익(비지배),0,0,3,11,11,,
자산총계,"11,024","13,560","13,503","14,304","14,836","14,340","14,620"
부채총계,"5,392","7,216","7,298","8,290","8,646","7,940","7,950"
자본총계,"5,632","6,344","6,206","6,014","6,189","6,400","6,670"
  자본총계(지배),"5,631","6,168","6,138","5,938","6,104","6,300","6,560"
  자본총계(비지배),1,,67,76,85,,
자본금,"1,559","1,559","1,559","1,559","1,559","1,560","1,560"
영업활동현금흐름,"1,051","1,022",522,321,-153,660,950
투자활동현금흐름,-309,-687,-570,-557,-770,-540,-540
재무활동현금흐름,-463,-292,-24,950,265,-80,-90
CAPEX,260,241,377,440,479,520,520
FCF,792,781,145,-119,-632,,
이자발생부채,"3,786","5,107","5,434","6,435","6,811",,
영업이익률,7.36,15.70,7.83,1.20,4.79,6.73,7.20
순이익률,6.00,10.71,1.64,-1.43,3.21,4.81,4.89
ROE(%),6.65,11.83,1.64,-1.43,3.09,5.48,5.44
ROA(%),3.32,5.68,0.77,-0.54,1.35,2.40,2.49
부채비율,95.73,113.75,117.60,137.84,139.70,124.06,119.19
자본유보율,261.07,297.11,294.04,281.77,291.76,,
EPS(원),585,"1,119",162,-139,298,545,561
PER(배),7.75,5.42,26.08,N/A,14.54,8.63,8.38
BPS(원),"9,029","9,890","9,842","9,521","9,788","10,102","10,519"
PBR(배),0.50,0.61,0.43,0.38,0.44,0.47,0.45
현금DPS(원),150,250,175,125,125,125,150
현금배당수익률,3.31,4.13,4.14,3.45,2.88,2.66,3.19
현금배당성향(%),25.64,22.34,108.01,-90.22,41.93,22.93,26.73
발행주식수(보통주),"62,368,324","62,368,324","62,368,324","62,368,324","62,368,324",,
