주요재무정보,"2019/10
(IFRS별도)","2020/08
(IFRS별도)","2021/02
(IFRS별도)","2021/08
(IFRS연결)","2022/02
(IFRS연결)"
매출액,,374,28,233,69
영업이익,0,371,27,222,52
영업이익(발표기준),0,371,27,222,52
세전계속사업이익,0,371,27,223,49
당기순이익,0,371,27,223,49
  당기순이익(지배),0,371,27,223,50
  당기순이익(비지배),,,,,-1
자산총계,15,"1,546","1,559","1,754","2,691"
부채총계,0,0,0,9,550
자본총계,15,"1,545","1,558","1,745","2,140"
  자본총계(지배),15,"1,545","1,558","1,745","2,136"
  자본총계(비지배),,,,,4
자본금,3,240,240,240,309
영업활동현금흐름,0,-3,47,43,-27
투자활동현금흐름,,"-1,132",-30,-2,-800
재무활동현금흐름,15,"1,160",-14,-36,842
CAPEX,,,,22,525
FCF,0,-3,47,21,-553
이자발생부채,0,0,0,0,528
영업이익률,,99.05,96.12,95.50,74.44
순이익률,,99.06,96.46,95.52,70.86
ROE(%),,47.51,,,
ROA(%),,47.50,,,
부채비율,0.01,0.01,0.03,0.51,25.71
자본유보율,400.56,543.93,549.33,626.96,597.54
EPS(원),19,"6,126",114,927,181
PER(배),,0.73,41.53,5.95,31.69
BPS(원),"5,006","6,439","6,493","7,270","6,919"
PBR(배),0.00,0.70,0.73,0.76,0.83
현금DPS(원),0,60,151,152,152
현금배당수익률,,1.34,3.18,2.75,2.65
현금배당성향(%),0.00,3.90,132.03,16.39,94.39
발행주식수(보통주),"300,000","24,000,000","24,000,000","24,000,000","30,872,852"
