주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"91,168","98,925","106,699","113,010","109,155",,,
영업이익,"1,756","1,436","2,498","1,923","2,035",,,
영업이익(발표기준),"1,756","1,436","2,498","1,923","2,035",,,
세전계속사업이익,"1,734","1,344","2,470","1,903","2,006",,,
당기순이익,"1,330","1,029","1,887","1,421","1,533",,,
  당기순이익(지배),"1,330","1,029","1,887","1,421","1,533",,,
  당기순이익(비지배),,,,,,,,
자산총계,"100,653","107,509","117,331","125,199","131,157",,,
부채총계,"79,023","85,132","92,771","100,640","105,899",,,
자본총계,"21,630","22,376","24,560","24,559","25,257",,,
  자본총계(지배),"21,630","22,376","24,560","24,559","25,257",,,
  자본총계(비지배),,,,,,,,
자본금,602,602,602,602,602,,,
영업활동현금흐름,"5,596","3,091","3,097","5,175","6,379",,,
투자활동현금흐름,"-5,790","-2,194",-590,"-2,345","-5,738",,,
재무활동현금흐름,-475,-445,-618,"-1,684",-569,,,
CAPEX,9,10,13,51,11,,,
FCF,,,,,,,,
이자발생부채,0,0,0,0,0,,,
영업이익률,1.93,1.45,2.34,1.70,1.86,,,
순이익률,1.46,1.04,1.77,1.26,1.41,,,
ROE(%),6.22,4.68,8.04,5.78,6.16,,,
ROA(%),1.35,0.99,1.68,1.17,1.20,,,
부채비율,365.34,380.46,377.73,409.79,419.29,,,
자본유보율,"3,552.64","3,676.59","4,042.54","4,203.42","4,319.36",,,
EPS(원),"1,105",855,"1,568","1,180","1,274",,,
PER(배),9.95,10.13,5.81,6.69,7.26,,,
BPS(원),"18,830","19,480","21,418","24,014","24,697",,,
PBR(배),0.58,0.44,0.43,0.33,0.37,,,
현금DPS(원),300,275,500,450,525,670,800,850
현금배당수익률,2.73,3.18,5.49,5.70,5.68,7.07,8.45,8.98
현금배당성향(%),25.91,30.69,30.44,32.40,35.01,,,
발행주식수(보통주),"120,369,116","120,369,116","120,369,116","120,369,116","120,369,116",,,
