주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"18,186","18,108","17,880","15,223","16,078","16,820","17,400","17,578"
영업이익,662,676,495,445,385,538,634,652
영업이익(발표기준),662,676,495,445,385,,,
세전계속사업이익,"1,114",559,497,966,78,490,600,585
당기순이익,951,425,376,702,-10,372,452,443
  당기순이익(지배),951,425,376,702,-10,372,452,443
  당기순이익(비지배),,,,,,,,
자산총계,"12,218","12,083","13,216","12,865","12,715","12,866","13,262","13,618"
부채총계,"5,563","5,258","6,136","5,253","4,855","4,897","4,939","4,784"
자본총계,"6,654","6,825","7,080","7,612","7,860","7,970","8,323","8,834"
  자본총계(지배),"6,654","6,825","7,080","7,612","7,860","7,970","8,323","8,834"
  자본총계(비지배),,,,,,,,
자본금,57,57,57,57,60,60,60,61
영업활동현금흐름,908,968,476,"1,302",477,910,906,"1,002"
투자활동현금흐름,-558,-332,-493,-921,-165,-171,-140,-599
재무활동현금흐름,269,"-1,191",-128,545,-889,-318,-186,-229
CAPEX,850,592,748,828,639,600,600,600
FCF,58,376,-272,474,-163,550,700,
이자발생부채,"2,958","2,028","2,298","3,042","2,413",,,
영업이익률,3.64,3.73,2.77,2.93,2.39,3.20,3.64,3.71
순이익률,5.23,2.35,2.10,4.61,-0.07,2.21,2.60,2.52
ROE(%),11.82,6.31,5.41,,-0.14,4.69,5.54,5.16
ROA(%),7.43,3.50,2.97,,-0.08,2.90,3.46,3.30
부채비율,83.61,77.05,86.67,69.02,61.76,61.45,59.34,54.15
자본유보율,"16,663.56","17,169.97","17,374.13","18,403.78","17,630.07",,,
EPS(원),"72,204","37,584","33,238","62,047",-894,"32,555","41,968","41,178"
PER(배),7.66,18.86,12.43,5.34,N/A,10.06,7.80,7.95
BPS(원),"731,399","750,128","778,196","836,655","796,390","933,462","974,868","1,034,721"
PBR(배),0.76,0.95,0.53,0.40,0.43,0.35,0.34,0.32
현금DPS(원),"22,000","15,000","12,000","12,000","10,000","10,500","11,833","10,000"
현금배당수익률,3.98,2.12,2.91,3.62,2.90,3.21,3.61,3.05
현금배당성향(%),21.05,32.08,29.02,15.55,-942.82,34.17,31.69,27.29
발행주식수(보통주),"1,131,870","1,131,870","1,131,870","1,131,870","1,209,055",,,
