주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"25,962","25,451","24,282","23,424","33,548"
영업이익,-118,-164,346,"1,108","2,969"
영업이익(발표기준),-118,-164,346,"1,108","2,969"
세전계속사업이익,"-2,850",-566,-317,674,"2,423"
당기순이익,"-2,675",-661,-335,669,"1,907"
  당기순이익(지배),"-2,676",-656,-333,668,"1,910"
  당기순이익(비지배),1,-4,-2,1,-2
자산총계,"25,525","25,061","23,553","22,577","27,711"
부채총계,"25,095","24,996","14,658","12,850","16,209"
자본총계,430,64,"8,895","9,727","11,502"
  자본총계(지배),411,61,"8,891","9,721","11,504"
  자본총계(비지배),19,3,4,6,-3
자본금,"1,808","1,920","5,553","5,553","5,553"
영업활동현금흐름,"1,831",-82,"-1,698","1,300",-472
투자활동현금흐름,97,-327,-228,284,-925
재무활동현금흐름,"-1,988",-108,"1,652","-2,014","1,865"
CAPEX,280,299,253,651,689
FCF,"1,551",-382,"-1,951",650,"-1,161"
이자발생부채,"17,553","17,417","10,694","9,041","11,414"
영업이익률,-0.45,-0.64,1.43,4.73,8.85
순이익률,-10.30,-2.60,-1.38,2.86,5.68
ROE(%),-323.35,-278.19,-7.44,7.18,17.99
ROA(%),-9.95,-2.61,-1.38,2.90,7.59
부채비율,"5,842.43","38,840.82",164.80,132.11,140.93
자본유보율,-77.83,-98.54,59.56,74.82,106.80
EPS(원),"-133,954","-19,343",-932,668,"1,908"
PER(배),N/A,N/A,N/A,17.37,5.55
BPS(원),"20,577","1,577","8,886","9,716","11,498"
PBR(배),1.08,12.21,0.88,1.19,0.92
현금DPS(원),0,0,0,100,100
현금배당수익률,0.00,0.00,0.00,0.86,0.94
현금배당성향(%),0.00,0.00,0.00,14.98,5.24
발행주식수(보통주),"1,944,082","3,808,897","100,008,897","100,008,897","100,008,897"
