주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,211","1,215","1,230","1,167","1,269"
영업이익,40,11,16,32,130
영업이익(발표기준),40,11,16,32,130
세전계속사업이익,50,50,13,174,203
당기순이익,32,31,7,124,134
  당기순이익(지배),32,31,7,124,134
  당기순이익(비지배),0,,,,
자산총계,"1,313","1,327","1,389","1,462","1,386"
부채총계,449,454,587,543,372
자본총계,864,873,801,919,"1,014"
  자본총계(지배),864,873,801,919,"1,014"
  자본총계(비지배),,,,,
자본금,67,67,67,67,67
영업활동현금흐름,25,20,9,128,33
투자활동현금흐름,11,29,-153,74,149
재무활동현금흐름,-37,-48,145,-204,-126
CAPEX,10,36,162,203,20
FCF,15,-16,-153,-75,14
이자발생부채,213,177,335,143,68
영업이익률,3.33,0.91,1.32,2.71,10.28
순이익률,2.62,2.51,0.55,10.66,10.60
ROE(%),3.71,3.52,0.81,14.45,13.91
ROA(%),2.42,2.31,0.50,8.72,9.45
부채비율,51.98,51.98,73.31,59.06,36.68
자본유보율,"1,197.28","1,210.87","1,103.95","1,277.74","1,434.43"
EPS(원),330,318,70,"1,295","1,412"
PER(배),33.64,32.38,135.26,8.49,11.44
BPS(원),"9,053","9,150","8,396","9,623","10,783"
PBR(배),1.23,1.13,1.13,1.14,1.50
현금DPS(원),200,200,200,200,220
현금배당수익률,1.80,1.94,2.10,1.82,1.36
현금배당성향(%),36.42,37.64,169.70,12.31,15.45
발행주식수(보통주),"9,600,000","9,600,000","9,600,000","9,600,000","9,500,000"
