주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"1,506","1,863","2,526","2,297","2,915","3,630","4,336","5,132"
영업이익,411,420,447,396,699,945,"1,154","1,444"
영업이익(발표기준),411,420,447,396,699,,,
세전계속사업이익,359,420,336,261,747,927,"1,123","1,422"
당기순이익,303,343,137,222,555,719,865,"1,092"
  당기순이익(지배),301,343,148,225,555,719,865,"1,095"
  당기순이익(비지배),2,0,-11,-3,0,,,
자산총계,"3,109","4,368","5,471","5,102","5,702","6,386","7,248","8,491"
부채총계,"1,484","2,421","3,406","2,816","2,791","2,803","2,823","2,894"
자본총계,"1,625","1,947","2,065","2,286","2,911","3,583","4,425","5,597"
  자본총계(지배),"1,619","1,941","2,069","2,293","2,918","3,592","4,433","5,608"
  자본총계(비지배),6,,-4,-7,-7,,,
자본금,62,62,62,62,62,61,61,61
영업활동현금흐름,217,-6,-116,758,741,765,941,"1,249"
투자활동현금흐름,-739,"-1,118",-560,-93,-218,-376,-327,-382
재무활동현금흐름,964,802,746,-500,-241,-124,-126,-74
CAPEX,723,"1,074",513,86,282,354,303,355
FCF,-507,"-1,080",-629,671,459,486,659,900
이자발생부채,974,"1,933","2,721","2,189","1,930",,,
영업이익률,27.27,22.52,17.68,17.23,23.97,26.03,26.63,28.15
순이익률,20.11,18.39,5.43,9.67,19.04,19.81,19.94,21.27
ROE(%),26.05,19.25,7.37,10.34,21.29,22.09,21.56,21.82
ROA(%),12.16,9.16,2.79,4.20,10.27,11.90,12.68,13.87
부채비율,91.35,124.32,164.90,123.20,95.88,78.22,63.80,51.72
자본유보율,"2,854.73","3,378.88","3,579.39","3,949.55","4,802.49",,,
EPS(원),"2,716","3,095","1,336","2,037","5,013","6,497","7,816","9,896"
PER(배),22.94,18.58,40.28,20.18,13.92,10.80,8.98,7.09
BPS(원),"18,768","22,506","23,996","26,588","33,841","41,650","51,408","65,029"
PBR(배),3.32,2.55,2.24,1.55,2.06,1.69,1.37,1.08
현금DPS(원),150,150,0,200,250,250,258,250
현금배당수익률,0.24,0.26,0.00,0.49,0.36,0.36,0.37,0.36
현금배당성향(%),4.30,3.78,0.00,7.65,3.89,3.85,3.31,2.53
발행주식수(보통주),"11,068,830","11,068,830","11,068,830","11,068,830","11,068,830",,,
