주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"3,716","6,271","6,714","6,913","7,007"
영업이익,50,74,2,129,-105
영업이익(발표기준),50,74,2,129,-105
세전계속사업이익,33,49,-6,126,-138
당기순이익,11,19,-102,70,-150
  당기순이익(지배),11,19,-102,69,-125
  당기순이익(비지배),,,,0,-25
자산총계,"4,137","4,029","4,004","4,097","4,265"
부채총계,"2,357","2,180","2,315","2,372","2,591"
자본총계,"1,780","1,849","1,689","1,725","1,673"
  자본총계(지배),"1,780","1,849","1,689","1,724","1,682"
  자본총계(비지배),,,,1,-9
자본금,53,74,74,74,74
영업활동현금흐름,-42,215,290,-190,191
투자활동현금흐름,-76,-104,-11,-56,-80
재무활동현금흐름,150,-247,-166,151,111
CAPEX,40,101,11,24,53
FCF,-82,113,279,-215,138
이자발생부채,618,379,324,493,478
영업이익률,1.34,1.18,0.03,1.87,-1.50
순이익률,0.29,0.30,-1.52,1.01,-2.14
ROE(%),,1.04,-5.79,,-7.32
ROA(%),,0.46,-2.55,,-3.58
부채비율,132.45,117.86,137.12,137.51,154.85
자본유보율,"3,293.21","2,285.49","2,012.06","2,066.77","1,970.54"
EPS(원),124,128,-696,470,-848
PER(배),358.38,362.75,N/A,133.10,N/A
BPS(원),"12,107","12,581","11,554","11,800","11,534"
PBR(배),3.67,3.70,3.13,5.30,2.93
현금DPS(원),50,60,70,70,65
현금배당수익률,0.11,0.13,0.19,0.11,0.19
현금배당성향(%),68.37,46.36,-9.99,14.79,-7.60
발행주식수(보통주),"14,704,872","14,704,872","14,704,872","14,704,872","14,704,872"
