주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"1,480","1,547","1,592","1,717","1,778","1,870","2,158","2,392"
영업이익,297,273,262,284,313,220,287,327
영업이익(발표기준),297,273,262,284,313,,,
세전계속사업이익,365,293,282,311,339,248,316,358
당기순이익,272,215,186,232,265,193,246,279
  당기순이익(지배),272,215,187,234,267,193,246,279
  당기순이익(비지배),,,-1,-2,-2,,,
자산총계,"2,748","2,877","3,049","3,296","3,532","3,680","3,896","4,143"
부채총계,318,281,304,330,360,363,380,394
자본총계,"2,431","2,596","2,745","2,966","3,172","3,317","3,516","3,749"
  자본총계(지배),"2,431","2,596","2,738","2,961","3,169","3,312","3,512","3,744"
  자본총계(비지배),,,7,5,3,,,
자본금,97,97,97,97,97,97,97,97
영업활동현금흐름,235,175,247,228,353,196,115,189
투자활동현금흐름,-375,-143,-401,6,-21,-102,-150,-144
재무활동현금흐름,-38,-46,-52,-52,-52,-46,-46,-46
CAPEX,191,41,28,80,44,56,64,68
FCF,44,134,220,148,309,,,
이자발생부채,0,0,16,22,17,,,
영업이익률,20.04,17.68,16.44,16.55,17.59,11.77,13.30,13.67
순이익률,18.37,13.91,11.69,13.51,14.88,10.32,11.40,11.66
ROE(%),11.73,8.56,,8.21,8.70,5.96,7.21,7.69
ROA(%),10.49,7.65,,7.31,7.75,5.35,6.49,6.94
부채비율,13.06,10.83,11.09,11.11,11.34,10.94,10.81,10.51
자본유보율,"2,482.89","2,691.73","2,837.25","3,033.99","3,263.74",,,
EPS(원),"1,461","1,157","1,005","1,257","1,433","1,038","1,323","1,500"
PER(배),15.23,16.55,15.37,13.28,12.42,16.38,12.85,11.33
BPS(원),"15,922","17,003","17,933","19,396","20,760","21,694","23,004","24,523"
PBR(배),1.40,1.13,0.86,0.86,0.86,0.78,0.74,0.69
현금DPS(원),300,300,300,300,300,300,300,300
현금배당수익률,1.35,1.57,1.94,1.80,1.69,1.76,1.76,1.76
현금배당성향(%),16.86,21.29,24.50,19.58,17.18,28.91,22.68,20.00
발행주식수(보통주),"18,600,070","18,600,070","18,600,070","18,600,070","18,600,070",,,
