주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"4,048","16,945","20,930","20,760","21,454","21,610","22,400"
영업이익,84,644,973,"1,126","1,085","1,280","1,570"
영업이익(발표기준),84,644,973,"1,126","1,085",,
세전계속사업이익,33,208,526,559,541,,
당기순이익,19,84,416,417,363,,
  당기순이익(지배),20,94,381,410,349,,
  당기순이익(비지배),-1,-9,36,7,15,,
자산총계,"19,070","25,427","27,162","26,430","26,666",,
부채총계,"10,798","12,848","14,154","13,631","13,397",,
자본총계,"8,272","12,579","13,008","12,799","13,270",,
  자본총계(지배),"8,247","11,748","12,096","11,874","12,341",,
  자본총계(비지배),25,,912,925,929,,
자본금,21,32,32,32,32,,
영업활동현금흐름,310,"1,847","1,910","2,073","2,127",,
투자활동현금흐름,"-1,405",-328,"-1,947",-527,"-1,263",,
재무활동현금흐름,960,-184,171,-501,"-1,071",,
CAPEX,169,891,787,839,"1,429",,
FCF,141,956,"1,123","1,234",698,,
이자발생부채,"6,845","7,972","9,337","9,080","8,465",,
영업이익률,2.08,3.80,4.65,5.42,5.06,5.92,7.01
순이익률,0.48,0.50,1.99,2.01,1.69,,
ROE(%),,0.94,3.19,3.42,2.88,,
ROA(%),,0.38,1.58,1.56,1.37,,
부채비율,130.54,102.13,108.81,106.50,100.96,,
자본유보율,"39,099.64","37,027.92","37,856.29","38,902.75","39,657.58",,
EPS(원),"2,170","2,187","5,932","6,387","5,438",,
PER(배),67.27,69.06,25.20,15.97,22.16,,
BPS(원),"196,156","183,215","188,635","185,177","192,466",,
PBR(배),0.74,0.82,0.79,0.55,0.63,,
현금DPS(원),280,"1,300","1,300","1,600","1,600",,
현금배당수익률,0.19,0.86,0.87,1.57,1.33,,
현금배당성향(%),58.08,89.03,21.90,25.03,29.40,,
발행주식수(보통주),"4,209,102","6,416,717","6,416,717","6,416,717","6,416,717",,
