주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"68,385","80,020","77,183","77,533","96,750","103,694","111,919","118,561"
영업이익,"3,062","11,499","7,409","9,127","14,869","16,108","18,374","19,821"
영업이익(발표기준),"3,062","11,499","7,409","9,127","14,869",,,
세전계속사업이익,"2,535","10,852","6,961","8,689","14,913","16,275","18,540","20,053"
당기순이익,"1,773","6,850","5,280","6,238","9,154","11,989","13,743","14,922"
  당기순이익(지배),"1,617","6,562","5,143","6,040","8,924","11,708","13,444","14,366"
  당기순이익(비지배),155,288,138,198,230,,,
자산총계,"77,674","86,449","86,742","92,255","99,414","109,572","122,544","136,813"
부채총계,"34,359","36,984","32,442","33,151","30,702","30,688","31,335","32,469"
자본총계,"43,315","49,465","54,301","59,104","68,711","78,884","91,209","104,344"
  자본총계(지배),"42,316","48,210","52,850","57,723","67,189","77,436","89,521","102,161"
  자본총계(비지배),998,,"1,450","1,381","1,522",,,
자본금,"3,880","3,880","3,880","3,880","3,880","3,880","3,880","3,880"
영업활동현금흐름,"7,177","15,587","10,213","15,881","17,312","20,213","22,848","25,070"
투자활동현금흐름,"-12,323","-6,981","-5,170","-7,324","-8,451","-13,232","-12,170","-12,078"
재무활동현금흐름,"1,961","-2,358","-6,195","-2,095","-11,810","-3,205","-2,904","-2,415"
CAPEX,"14,763","11,952","15,480","7,567","8,442","13,631","12,511","12,341"
FCF,"-7,586","3,635","-5,267","8,314","8,870","6,492","9,900","11,424"
이자발생부채,"25,689","24,541","20,114","19,067","10,825",,,
영업이익률,4.48,14.37,9.60,11.77,15.37,15.53,16.42,16.72
순이익률,2.59,8.56,6.84,8.05,9.46,11.56,12.28,12.59
ROE(%),3.82,14.50,10.18,10.92,14.29,16.19,16.11,14.99
ROA(%),2.30,8.35,6.10,6.97,9.55,11.47,11.84,11.51
부채비율,79.32,74.77,59.74,56.09,44.68,38.90,34.36,31.12
자본유보율,942.01,"1,088.79","1,190.22","1,319.18","1,510.49",,,
EPS(원),"2,084","8,457","6,627","7,783","11,500","15,088","17,325","18,512"
PER(배),47.98,12.24,18.86,22.87,17.17,10.64,9.26,8.67
BPS(원),"56,013","63,815","69,957","76,406","88,937","102,500","118,497","135,228"
PBR(배),1.79,1.62,1.79,2.33,2.22,1.57,1.35,1.19
현금DPS(원),750,"1,000","1,100","1,400","2,100","2,191","2,315","2,532"
현금배당수익률,0.75,0.97,0.88,0.79,1.06,1.37,1.44,1.58
현금배당성향(%),35.12,11.53,16.19,17.54,17.79,13.98,12.86,13.16
발행주식수(보통주),"74,693,696","74,693,696","74,693,696","74,693,696","74,693,696",,,
