주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,584,495,419,517,577
영업이익,-28,3,-44,-37,10
영업이익(발표기준),-28,3,-44,-37,10
세전계속사업이익,107,74,-40,-51,18
당기순이익,93,61,-29,-60,13
  당기순이익(지배),93,61,-29,-60,14
  당기순이익(비지배),,,,0,-1
자산총계,"1,856","1,834","1,724","1,592","1,722"
부채총계,242,297,258,225,364
자본총계,"1,614","1,537","1,466","1,367","1,357"
  자본총계(지배),"1,614","1,537","1,466","1,367","1,358"
  자본총계(비지배),,,,0,-1
자본금,100,100,100,100,100
영업활동현금흐름,46,82,-37,-4,113
투자활동현금흐름,-292,72,4,31,-101
재무활동현금흐름,-88,-123,-48,-45,-19
CAPEX,233,4,29,38,11
FCF,-187,79,-66,-42,102
이자발생부채,0,0,9,23,31
영업이익률,-4.72,0.59,-10.40,-7.18,1.80
순이익률,15.89,12.39,-6.85,-11.61,2.22
ROE(%),5.76,3.89,-1.91,,1.00
ROA(%),4.88,3.33,-1.61,,0.77
부채비율,15.00,19.31,17.60,16.49,26.84
자본유보율,"1,066.05","1,004.00",933.72,847.10,834.45
EPS(원),463,306,-143,-299,68
PER(배),13.08,18.67,N/A,N/A,58.56
BPS(원),"8,064","7,746","7,390","7,024","6,905"
PBR(배),0.75,0.74,0.60,0.63,0.58
현금DPS(원),572,210,135,135,120
현금배당수익률,9.44,3.67,3.03,3.03,3.02
현금배당성향(%),123.49,67.92,-93.38,-43.84,173.45
발행주식수(보통주),"20,020,000","20,020,000","20,020,000","20,020,000","20,020,000"
