주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,721,796,783,707,731
영업이익,-29,25,-47,-40,-82
영업이익(발표기준),-29,25,-47,-40,-82
세전계속사업이익,-54,28,-112,-111,-166
당기순이익,-54,28,-112,-111,-166
  당기순이익(지배),-54,28,-112,-111,-166
  당기순이익(비지배),,,,,
자산총계,534,637,738,636,478
부채총계,338,369,545,541,155
자본총계,196,268,194,95,324
  자본총계(지배),196,268,194,95,324
  자본총계(비지배),,,,,
자본금,251,278,323,323,327
영업활동현금흐름,-37,61,63,64,-32
투자활동현금흐름,-12,-115,-125,10,-46
재무활동현금흐름,43,52,51,-61,80
CAPEX,21,111,87,51,47
FCF,-58,-50,-24,13,-80
이자발생부채,202,212,218,156,0
영업이익률,-4.00,3.14,-6.02,-5.63,-11.20
순이익률,-7.53,3.56,-14.30,-15.63,-22.72
ROE(%),-29.09,12.21,-48.48,-76.57,
ROA(%),-9.54,4.84,-16.28,-16.09,
부채비율,172.18,137.56,281.29,568.59,47.84
자본유보율,-21.53,-3.49,-40.11,-70.83,-1.18
EPS(원),-492,195,-906,-916,-654
PER(배),N/A,17.40,N/A,N/A,N/A
BPS(원),"1,450","1,841","1,606",789,494
PBR(배),2.27,1.85,2.61,1.94,3.10
현금DPS(원),0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"8,406,914","9,437,550","12,064,041","12,064,041","65,497,372"
