주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,"2,517","2,508","2,401",725,757
영업이익,47,-33,29,-20,-66
영업이익(발표기준),47,-33,29,-20,-66
세전계속사업이익,-85,-147,-45,-88,-83
당기순이익,-144,-117,-44,-101,-79
  당기순이익(지배),-86,-3,-4,-101,-76
  당기순이익(비지배),-59,-115,-40,,-3
자산총계,"3,742","3,670","3,739",686,"1,164"
부채총계,"2,160","2,218","2,186",489,719
자본총계,"1,582","1,453","1,553",197,445
  자본총계(지배),228,246,249,197,311
  자본총계(비지배),"1,354","1,206","1,304",,134
자본금,55,125,125,125,156
영업활동현금흐름,160,308,-449,20,58
투자활동현금흐름,-8,-33,12,0,-186
재무활동현금흐름,-56,-191,392,-21,196
CAPEX,6,57,5,0,43
FCF,154,251,-454,20,15
이자발생부채,"1,289","1,084","1,306",180,188
영업이익률,1.88,-1.31,1.20,-2.76,-8.76
순이익률,-5.74,-4.67,-1.82,-13.99,-10.46
ROE(%),-33.33,-1.07,-1.45,-39.85,
ROA(%),-3.70,-3.16,-1.18,-14.27,
부채비율,136.51,152.68,140.72,248.66,161.39
자본유보율,-21.67,-43.04,-40.73,70.12,116.61
EPS(원),-410,-11,-14,-405,-266
PER(배),N/A,N/A,N/A,N/A,N/A
BPS(원),"1,038",984,994,786,"1,001"
PBR(배),1.76,1.52,1.44,8.14,2.99
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"21,927,844","25,016,587","25,016,587","25,016,587","31,121,109"
