주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)"
매출액,"2,225","2,266","2,233","2,401","2,125","2,170","2,430"
영업이익,"1,668","1,379","1,141","1,787","1,479","1,610","1,850"
영업이익(발표기준),"1,668","1,379","1,141","1,787","1,479",,
세전계속사업이익,"1,667","1,385","1,186","1,729","1,464","1,590","1,830"
당기순이익,"1,267","1,034",888,"1,300","1,075","1,190","1,370"
  당기순이익(지배),"1,255","1,024",888,"1,300","1,075","1,190","1,370"
  당기순이익(비지배),12,10,0,0,0,,
자산총계,"7,796","10,081","12,375","12,076","12,647","13,050","14,030"
부채총계,"2,631","4,150","5,764","4,388","4,154","3,640","3,530"
자본총계,"5,165","5,931","6,611","7,689","8,493","9,410","10,490"
  자본총계(지배),"5,120","5,931","6,611","7,689","8,493","9,410","10,490"
  자본총계(비지배),44,,,,,,
자본금,468,514,564,620,620,620,620
영업활동현금흐름,"-1,183","-1,686",-902,"5,693",-628,,
투자활동현금흐름,708,-99,-39,"-1,743",802,,
재무활동현금흐름,714,"1,817","1,430","-1,716",-881,,
CAPEX,4,2,2,1,3,,
FCF,,,,,,,
이자발생부채,"1,495","3,460","5,116","3,648","3,062",,
영업이익률,74.97,60.85,51.09,74.43,69.60,74.19,76.13
순이익률,56.96,45.63,39.75,54.16,50.56,54.84,56.38
ROE(%),27.12,18.52,14.15,18.18,13.28,13.29,13.77
ROA(%),18.81,11.57,7.90,10.63,8.69,9.26,10.12
부채비율,50.95,69.96,87.18,57.07,48.91,38.68,33.65
자본유보율,"1,026.03","1,079.10","1,093.93","1,160.65","1,290.33",,
EPS(원),"1,013",826,716,"1,049",867,960,"1,105"
PER(배),6.05,4.85,4.71,3.76,4.71,4.14,3.59
BPS(원),"4,167","4,847","5,403","6,283","6,940","7,690","8,573"
PBR(배),1.47,0.83,0.62,0.63,0.59,0.52,0.46
현금DPS(원),151,166,182,220,220,230,230
현금배당수익률,2.46,4.14,5.40,5.58,5.39,5.79,5.79
현금배당성향(%),14.72,19.76,25.07,20.71,25.05,23.96,20.81
발행주식수(보통주),"123,977,752","123,977,753","123,977,752","123,977,752","123,977,752",,
