주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"33,874","40,585","38,894","28,150","38,490"
영업이익,480,561,583,323,388
영업이익(발표기준),480,561,583,323,388
세전계속사업이익,214,304,-62,-696,264
당기순이익,225,211,-167,-821,220
  당기순이익(지배),212,205,-171,-804,233
  당기순이익(비지배),13,5,4,-18,-13
자산총계,"13,979","13,360","12,052","9,568","14,427"
부채총계,"10,102","9,329","8,253","6,578","11,002"
자본총계,"3,877","4,031","3,799","2,990","3,425"
  자본총계(지배),"3,674","3,826","3,591","2,860","3,311"
  자본총계(비지배),202,,208,130,114
자본금,"2,063","2,063","2,063","2,063","2,063"
영업활동현금흐름,818,-103,332,"1,202","-3,443"
투자활동현금흐름,"-1,314",841,-79,-65,24
재무활동현금흐름,775,-890,-163,-978,"3,104"
CAPEX,89,68,149,31,29
FCF,730,-171,183,"1,170","-3,472"
이자발생부채,"5,990","5,142","5,179","4,331","7,509"
영업이익률,1.42,1.38,1.50,1.15,1.01
순이익률,0.66,0.52,-0.43,-2.92,0.57
ROE(%),6.22,5.48,-4.61,-24.91,7.56
ROA(%),1.65,1.54,-1.31,-7.60,1.84
부채비율,260.58,231.44,217.23,219.99,321.20
자본유보율,82.71,91.13,81.11,45.17,56.82
EPS(원),256,249,-207,-974,283
PER(배),10.90,9.90,N/A,N/A,8.39
BPS(원),"4,454","4,638","4,353","3,466","4,013"
PBR(배),0.63,0.53,0.51,0.56,0.59
현금DPS(원),25,25,0,0,
현금배당수익률,0.89,1.01,0.00,0.00,
현금배당성향(%),9.75,10.04,0.00,0.00,
발행주식수(보통주),"82,533,764","82,533,764","82,533,764","82,533,764","82,533,764"
