주요재무정보,"2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"14,611","178,519","205,473","274,426","354,100"
영업이익,"-4,752","7,685","12,279","19,082","26,480"
영업이익(발표기준),"-4,752","7,685",,,
세전계속사업이익,"-6,049","7,772","12,266","19,206","26,444"
당기순이익,"-4,518","9,299","9,886","15,124","20,728"
  당기순이익(지배),"-4,555","7,925","9,091","13,611","18,464"
  당기순이익(비지배),37,"1,373",,,
자산총계,"199,418","237,641","356,756","396,574","446,192"
부채총계,"123,764","150,218","163,942","188,452","217,366"
자본총계,"75,654","87,424","192,813","208,122","228,826"
  자본총계(지배),"68,796","79,661","183,426","197,716","216,771"
  자본총계(비지배),"6,858","7,763",,,
자본금,"1,000","1,000","1,156","1,156","1,156"
영업활동현금흐름,"3,954","9,786","28,741","40,463","53,034"
투자활동현금흐름,"-8,848","-21,781","-64,656","-61,112","-57,525"
재무활동현금흐름,"-2,030","8,828","90,657","4,854","4,440"
CAPEX,"2,603","34,629","63,129","60,737","56,831"
FCF,"1,350","-24,843","-39,611","-22,864","-4,378"
이자발생부채,"62,011","69,692",,,
영업이익률,-32.52,4.30,5.98,6.95,7.48
순이익률,-30.92,5.21,4.81,5.51,5.85
ROE(%),,10.68,6.91,7.14,8.91
ROA(%),,4.25,3.33,4.01,4.92
부채비율,163.59,171.83,85.03,90.55,94.99
자본유보율,"6,778.41","7,460.02",,,
EPS(원),"-2,278","3,963","3,916","5,817","7,890"
PER(배),,,99.07,66.70,49.17
BPS(원),"34,398","39,831","78,387","84,494","92,637"
PBR(배),0.00,0.00,4.95,4.59,4.19
현금DPS(원),0,,19,38,58
현금배당수익률,,,0.00,0.01,0.01
현금배당성향(%),0.00,,0.50,0.66,0.73
발행주식수(보통주),"200,000,000","200,000,000",,,
