주요재무정보,"2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"33,591","59,831","51,616","85,960","92,380","92,619","97,224"
영업이익,"1,251","3,229","2,666","14,237","8,029","7,641","8,133"
영업이익(발표기준),"1,251","3,229","2,666","14,237",,,
세전계속사업이익,485,"2,301","2,236","14,042","7,643","7,352","7,888"
당기순이익,315,"1,220","1,683","10,079","5,635","5,595","5,945"
  당기순이익(지배),212,931,"1,368","7,704","4,201","4,132","4,368"
  당기순이익(비지배),103,289,315,"2,375",,,
자산총계,"31,388","32,243","28,241","45,265","48,795","54,262","60,251"
부채총계,"26,519","26,414","21,088","27,629","26,489","27,105","28,366"
자본총계,"4,869","5,830","7,154","17,636","22,306","27,157","31,884"
  자본총계(지배),"4,037","4,890","6,010","14,205","17,558","21,031","24,218"
  자본총계(비지배),,940,"1,144","3,431",,,
자본금,216,216,216,216,218,218,218
영업활동현금흐름,"1,157","3,495","5,648","6,433","14,403","13,633","13,446"
투자활동현금흐름,"-1,500","-1,952",-585,"-3,695","-2,818","-3,025","-3,340"
재무활동현금흐름,"-1,638","-1,520","-4,696","-2,523","-3,437","-1,363","-1,360"
CAPEX,"1,769","2,074",536,"3,830","3,410","3,643","3,902"
FCF,-612,"1,421","5,112","2,603","6,496","6,478","6,230"
이자발생부채,"18,987","18,452","13,699","12,484",,,
영업이익률,3.72,5.40,5.16,16.56,8.69,8.25,8.37
순이익률,0.94,2.04,3.26,11.72,6.10,6.04,6.12
ROE(%),,20.86,25.10,76.22,26.46,21.42,19.31
ROA(%),,3.84,5.56,27.42,11.98,10.86,10.38
부채비율,544.66,453.10,294.79,156.66,118.75,99.81,88.97
자본유보율,"1,964.55","2,351.63","2,919.94","6,354.40",,,
EPS(원),"8,492","21,510","31,610","178,008","97,083","95,485","100,932"
PER(배),21.79,7.18,6.68,2.93,3.84,3.91,3.70
BPS(원),"93,535","113,298","139,253","329,152","406,838","487,322","561,166"
PBR(배),1.98,1.36,1.52,1.58,0.92,0.77,0.66
현금DPS(원),"1,000","2,000","5,000","50,000","22,857","22,857","24,167"
현금배당수익률,0.54,1.29,2.37,9.60,6.13,6.13,6.48
현금배당성향(%),20.31,9.27,15.77,28.01,23.54,23.94,23.94
발행주식수(보통주),"4,327,682","4,327,682","4,327,682","4,327,682",,,
