주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"3,646","4,004","4,462","4,887","6,947"
영업이익,116,150,190,210,296
영업이익(발표기준),116,150,190,210,296
세전계속사업이익,120,111,109,170,265
당기순이익,90,73,82,138,213
  당기순이익(지배),89,72,71,129,204
  당기순이익(비지배),1,1,11,9,10
자산총계,"3,708","3,760","4,243","4,414","5,323"
부채총계,"1,865","1,864","2,270","2,322","3,033"
자본총계,"1,844","1,896","1,973","2,093","2,291"
  자본총계(지배),"1,827","1,883","1,923","2,035","2,222"
  자본총계(비지배),16,,50,58,69
자본금,150,150,150,150,150
영업활동현금흐름,150,79,310,179,332
투자활동현금흐름,-241,-147,-140,-116,-359
재무활동현금흐름,78,87,-114,-36,77
CAPEX,107,166,131,105,340
FCF,42,-86,179,74,-8
이자발생부채,"1,125","1,236","1,569","1,597","2,057"
영업이익률,3.17,3.74,4.26,4.29,4.26
순이익률,2.47,1.82,1.84,2.82,3.07
ROE(%),4.96,3.88,3.75,6.54,9.56
ROA(%),2.52,1.95,2.05,3.19,4.38
부채비율,101.13,98.29,115.05,110.92,132.38
자본유보율,"1,118.31","1,156.63","1,181.50","1,260.57","1,382.09"
EPS(원),297,240,238,431,679
PER(배),8.61,11.99,11.56,8.69,9.17
BPS(원),"6,111","6,296","6,429","6,805","7,431"
PBR(배),0.42,0.46,0.43,0.55,0.84
현금DPS(원),35,45,45,50,60
현금배당수익률,1.37,1.57,1.64,1.33,0.96
현금배당성향(%),11.74,18.70,18.86,11.56,8.81
발행주식수(보통주),"30,000,000","30,000,000","30,000,000","30,000,000","30,000,000"
