주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,"40,993","41,127","40,265","40,517","38,697","38,955","40,154","41,690"
영업이익,"2,075","1,865","1,099","1,611","1,068","1,138","1,411","1,450"
영업이익(발표기준),"2,075","1,865","1,099","1,611","1,068",,,
세전계속사업이익,"1,990","1,269",-839,650,-335,548,938,"1,200"
당기순이익,"1,484",855,-999,287,-575,419,714,920
  당기순이익(지배),"1,484",855,-999,287,-575,419,714,920
  당기순이익(비지배),,,,,,,,
자산총계,"32,046","31,171","31,076","33,492","29,435","30,849","31,233","30,730"
부채총계,"11,788","10,552","11,857","14,232","11,162","12,337","12,277","10,830"
자본총계,"20,258","20,619","19,219","19,260","18,274","18,512","18,956","19,900"
  자본총계(지배),"20,258","20,619","19,219","19,260","18,274","18,512","18,956","19,900"
  자본총계(비지배),,,,,,,,
자본금,"1,180","1,180","1,180","1,180","1,180","1,180","1,180","1,180"
영업활동현금흐름,"2,517",715,"1,304","3,700","1,465","2,102","2,043","2,110"
투자활동현금흐름,-528,-210,"-1,056","-2,058",49,-482,-458,
재무활동현금흐름,-275,-802,"-2,748",225,"-3,482",-900,-947,-630
CAPEX,294,490,666,612,726,263,260,200
FCF,"2,224",225,637,"3,088",739,"2,190","2,150","1,910"
이자발생부채,"6,494","6,294","7,964","9,797","7,488",,,
영업이익률,5.06,4.53,2.73,3.98,2.76,2.92,3.51,3.48
순이익률,3.62,2.08,-2.48,0.71,-1.49,1.08,1.78,2.21
ROE(%),7.57,4.18,-5.02,1.49,-3.06,2.28,3.81,4.74
ROA(%),4.78,2.70,-3.21,0.89,-1.83,1.39,2.30,2.97
부채비율,58.19,51.18,61.69,73.90,61.08,66.64,64.76,54.42
자본유보율,"1,624.66","1,646.93","1,528.36","1,531.79","1,464.07",,,
EPS(원),"6,288","3,620","-4,232","1,217","-2,434","1,776","3,024","3,897"
PER(배),10.96,12.89,N/A,25.60,N/A,12.36,7.26,5.63
BPS(원),"85,810","87,338","81,410","81,582","78,984","80,013","81,935","86,014"
PBR(배),0.80,0.53,0.38,0.38,0.32,0.27,0.27,0.26
현금DPS(원),"1,850","1,700","1,000","1,200","1,000","1,100","1,167","1,200"
현금배당수익률,2.69,3.64,3.24,3.85,3.98,5.01,5.32,5.47
현금배당성향(%),29.42,46.96,-23.63,98.63,-40.27,61.94,38.57,30.79
발행주식수(보통주),"23,607,712","23,607,712","23,607,712","23,607,712","23,607,712",,,
