주요재무정보,"2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"21,805","37,814","29,840","30,947","34,687","37,984","42,492"
영업이익,500,"1,303",441,"1,201","1,558","1,985","2,023"
영업이익(발표기준),500,"1,303",441,"1,201",,,
세전계속사업이익,37,559,-180,944,"1,248","1,693","1,798"
당기순이익,19,160,-193,765,915,"1,294","1,348"
  당기순이익(지배),19,131,-222,576,700,"1,029","1,047"
  당기순이익(비지배),0,29,30,189,,,
자산총계,"34,325","40,008","37,035","40,227","41,347","43,238","46,008"
부채총계,"25,278","30,103","27,352","29,856","30,199","30,941","32,760"
자본총계,"9,047","9,905","9,682","10,371","11,148","12,296","13,248"
  자본총계(지배),"9,045","9,082","8,836","9,322","10,065","11,174","11,841"
  자본총계(비지배),,823,847,"1,049",,,
자본금,466,466,466,466,467,467,466
영업활동현금흐름,26,752,"3,866","1,106","1,514","2,249","2,446"
투자활동현금흐름,-415,"-4,111","-1,089",-899,"-1,238","-1,234","-1,396"
재무활동현금흐름,"-1,794","3,326","-2,627",71,230,49,-718
CAPEX,217,111,892,411,651,778,828
FCF,-192,641,"2,974",695,440,"1,058","1,325"
이자발생부채,"10,608","14,474","11,958","12,787",,,
영업이익률,2.29,3.45,1.48,3.88,4.49,5.22,4.76
순이익률,0.09,0.42,-0.65,2.47,2.64,3.41,3.17
ROE(%),,1.45,-2.48,6.35,7.22,9.69,9.10
ROA(%),,0.43,-0.50,1.98,2.24,3.06,3.02
부채비율,279.40,303.92,282.49,287.86,270.90,251.63,247.27
자본유보율,"1,906.48","1,910.73","1,872.05","1,976.36",,,
EPS(원),352,"1,409","-2,382","6,178","7,511","11,039","11,228"
PER(배),117.38,18.91,N/A,9.44,8.00,5.44,5.35
BPS(원),"97,137","97,537","94,889","100,113","108,089","120,004","127,162"
PBR(배),0.43,0.27,0.66,0.58,0.56,0.50,0.47
현금DPS(원),,,,,0,0,0
현금배당수익률,,,,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,,,,
발행주식수(보통주),"9,324,548","9,324,548","9,324,548","9,324,548",,,
