주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,613,716,741,773,"1,048"
영업이익,36,32,10,2,57
영업이익(발표기준),36,32,10,2,57
세전계속사업이익,28,31,12,6,71
당기순이익,21,22,10,5,58
  당기순이익(지배),21,22,10,5,58
  당기순이익(비지배),,,,,
자산총계,664,646,653,642,710
부채총계,343,305,311,296,304
자본총계,321,340,342,346,406
  자본총계(지배),321,340,342,346,406
  자본총계(비지배),,,,,
자본금,61,61,61,61,61
영업활동현금흐름,19,61,25,26,-8
투자활동현금흐름,-5,0,-30,-8,-22
재무활동현금흐름,-8,-34,-11,-6,-1
CAPEX,6,3,1,12,26
FCF,14,58,24,14,-34
이자발생부채,185,152,142,137,137
영업이익률,5.86,4.44,1.37,0.24,5.45
순이익률,3.38,3.11,1.30,0.63,5.53
ROE(%),5.81,6.73,2.83,1.42,15.40
ROA(%),3.04,3.40,1.48,0.76,8.57
부채비율,106.93,89.74,91.18,85.53,74.96
자본유보율,428.22,460.42,470.07,475.11,571.29
EPS(원),"1,708","1,833",793,403,"4,768"
PER(배),10.07,11.10,27.05,50.68,6.28
BPS(원),"26,404","28,014","28,118","28,484","33,420"
PBR(배),0.65,0.73,0.76,0.72,0.90
현금DPS(원),100,100,100,100,100
현금배당수익률,0.58,0.49,0.47,0.49,0.33
현금배당성향(%),5.86,5.46,12.61,24.84,2.10
발행주식수(보통주),"1,214,878","1,214,878","1,214,878","1,214,878","1,214,878"
