주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,274","1,451","1,348",986,"1,241"
영업이익,47,63,-28,-130,55
영업이익(발표기준),47,63,-28,-130,55
세전계속사업이익,15,26,-76,-161,35
당기순이익,11,20,-75,-155,24
  당기순이익(지배),11,20,-75,-155,24
  당기순이익(비지배),,,,,
자산총계,"2,157","2,281","2,108","1,778","1,832"
부채총계,"1,161","1,274","1,187","1,015","1,037"
자본총계,996,"1,008",921,763,795
  자본총계(지배),996,"1,008",921,763,795
  자본총계(비지배),,,,,
자본금,160,160,160,160,160
영업활동현금흐름,146,-130,121,74,112
투자활동현금흐름,-27,-19,-31,16,-5
재무활동현금흐름,-133,149,-84,-61,-147
CAPEX,34,35,46,35,24
FCF,113,-164,75,39,88
이자발생부채,917,"1,066",994,928,751
영업이익률,3.65,4.32,-2.10,-13.17,4.46
순이익률,0.86,1.36,-5.56,-15.74,1.91
ROE(%),1.09,1.97,-7.77,-18.43,3.05
ROA(%),0.50,0.89,-3.42,-7.99,1.31
부채비율,116.53,126.42,128.77,132.94,130.50
자본유보율,548.93,529.63,479.80,382.83,395.49
EPS(원),34,66,-254,-525,80
PER(배),60.12,40.35,N/A,N/A,37.90
BPS(원),"3,372","3,410","3,118","2,583","2,690"
PBR(배),0.61,0.78,0.81,1.07,1.13
현금DPS(원),0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"31,000,000","29,550,000","29,550,000","29,550,000","29,550,000"
