주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,511","1,465","1,547","1,602","1,975"
영업이익,136,86,155,162,128
영업이익(발표기준),136,86,155,162,128
세전계속사업이익,171,95,164,159,146
당기순이익,136,74,135,138,114
  당기순이익(지배),136,74,135,138,114
  당기순이익(비지배),,,,,
자산총계,957,978,"1,191","1,253","1,338"
부채총계,123,80,169,124,139
자본총계,833,898,"1,021","1,129","1,200"
  자본총계(지배),833,898,"1,021","1,129","1,200"
  자본총계(비지배),,,,,
자본금,24,24,24,24,24
영업활동현금흐름,144,133,213,207,94
투자활동현금흐름,-45,-83,-235,-153,-57
재무활동현금흐름,-156,-31,-17,-30,-48
CAPEX,162,131,254,159,58
FCF,-18,2,-41,48,36
이자발생부채,10,5,11,12,9
영업이익률,8.98,5.90,10.01,10.08,6.47
순이익률,8.99,5.03,8.73,8.60,5.75
ROE(%),15.82,8.51,14.07,12.81,9.75
ROA(%),14.01,7.62,12.46,11.27,8.76
부채비율,14.79,8.87,16.57,11.01,11.58
자본유보율,"3,810.29","4,088.32","4,614.07","5,026.13","5,293.51"
EPS(원),"6,204","3,372","6,166","6,264","5,161"
PER(배),9.48,12.81,7.23,9.88,15.73
BPS(원),"41,557","44,699","50,578","55,419","58,718"
PBR(배),1.41,0.97,0.88,1.12,1.38
현금DPS(원),"1,000","1,000","1,000","2,500","2,500"
현금배당수익률,1.70,2.31,2.24,4.04,3.08
현금배당성향(%),14.77,27.27,14.95,36.84,44.95
발행주식수(보통주),"2,185,180","2,189,904","2,199,268","2,199,268","2,199,268"
