주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,049","1,080","1,160","1,403","1,499"
영업이익,110,108,91,95,81
영업이익(발표기준),110,108,91,95,81
세전계속사업이익,112,124,109,32,48
당기순이익,84,98,84,15,14
  당기순이익(지배),84,98,84,15,14
  당기순이익(비지배),,,,,
자산총계,"1,662","1,718","2,387","2,461","2,433"
부채총계,320,329,936,"1,019",997
자본총계,"1,342","1,389","1,451","1,442","1,436"
  자본총계(지배),"1,342","1,389","1,451","1,442","1,436"
  자본총계(비지배),,,,,
자본금,108,108,108,108,108
영업활동현금흐름,84,149,164,144,137
투자활동현금흐름,-37,-115,-786,-260,-59
재무활동현금흐름,-28,6,450,62,-57
CAPEX,55,80,107,186,150
FCF,30,69,57,-42,-13
이자발생부채,91,124,640,735,698
영업이익률,10.48,10.03,7.84,6.78,5.40
순이익률,7.99,9.11,7.20,1.07,0.95
ROE(%),6.37,7.21,,1.03,0.99
ROA(%),5.11,5.82,,0.62,0.58
부채비율,23.81,23.69,64.48,70.70,69.39
자본유보율,929.66,998.68,"1,325.37","1,317.60","1,311.59"
EPS(원),"3,892","4,567","3,876",694,660
PER(배),13.31,10.26,11.75,56.76,65.89
BPS(원),"72,659","75,369","79,015","79,063","78,782"
PBR(배),0.71,0.62,0.58,0.50,0.55
현금DPS(원),"1,400","1,350","1,350","1,250","1,250"
현금배당수익률,2.70,2.88,2.96,3.17,2.87
현금배당성향(%),30.93,25.31,29.69,152.42,160.25
발행주식수(보통주),"2,154,379","2,154,379","2,154,379","2,154,379","2,154,379"
