주요재무정보,"2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,700,"2,902","3,812","5,943","9,374","12,550"
영업이익,102,304,20,323,"1,027","1,610"
영업이익(발표기준),102,304,20,,,
세전계속사업이익,68,-23,6,318,"1,013","1,566"
당기순이익,45,-110,2,241,810,"1,227"
  당기순이익(지배),45,-110,119,246,695,"1,068"
  당기순이익(비지배),,,-117,,,
자산총계,"4,942","8,412","10,116","13,834","17,241","18,589"
부채총계,"3,536","3,513","4,894","7,400","9,974","10,669"
자본총계,"1,406","4,899","5,222","6,434","7,268","7,920"
  자본총계(지배),"1,406","2,922","3,023","4,452","5,204","5,599"
  자본총계(비지배),,"1,977","2,199",,,
자본금,40,40,40,45,45,42
영업활동현금흐름,210,-308,-420,417,843,"1,095"
투자활동현금흐름,-789,"-1,760","-2,340","-2,657","-2,967","-1,486"
재무활동현금흐름,216,"4,168",917,"2,998","1,959",38
CAPEX,770,"1,719","2,320","2,311","3,027",748
FCF,-560,"-2,027","-2,740","-2,608","-2,229",-373
이자발생부채,"1,925","2,553","3,051",,,
영업이익률,14.54,10.47,0.53,5.44,10.96,12.83
순이익률,6.42,-3.80,0.04,4.06,8.64,9.77
ROE(%),,-5.10,4.00,6.57,14.39,19.78
ROA(%),,-1.65,0.02,2.01,5.21,6.85
부채비율,251.41,71.72,93.72,115.01,137.23,134.72
자본유보율,"3,323.57","7,285.56","7,575.54",,,
EPS(원),434,-269,289,561,"1,528","2,350"
PER(배),45.17,N/A,297.96,111.33,40.90,26.59
BPS(원),"3,422","7,108","7,356","9,795","11,450","12,319"
PBR(배),5.73,6.72,11.70,6.38,5.46,5.07
현금DPS(원),0,10,96,73,73,67
현금배당수익률,0.00,0.02,0.11,0.12,0.12,0.11
현금배당성향(%),0.00,-3.68,33.41,9.04,3.20,1.93
발행주식수(보통주),"31,751,201","31,751,201","31,751,201",,,
