주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"29,132","20,784","22,026","22,373","24,793"
영업이익,-258,62,332,530,837
영업이익(발표기준),-258,62,332,530,837
세전계속사업이익,-913,44,-482,-150,708
당기순이익,-222,-432,-953,-255,443
  당기순이익(지배),-146,-178,-600,-54,237
  당기순이익(비지배),-75,-254,-354,-202,206
자산총계,"27,677","26,963","22,154","21,510","21,379"
부채총계,"17,677","17,460","14,104","13,244","12,316"
자본총계,"10,000","9,503","8,050","8,266","9,063"
  자본총계(지배),"5,070","4,789","4,224","4,295","4,686"
  자본총계(비지배),"4,930",,"3,826","3,971","4,377"
자본금,117,117,117,117,117
영업활동현금흐름,"1,910",536,"2,239","1,530","1,948"
투자활동현금흐름,"-1,352","-2,720","-3,212","-1,235",-938
재무활동현금흐름,253,393,734,283,"-1,410"
CAPEX,"2,052","2,522","3,559","1,344","1,208"
FCF,-142,"-1,986","-1,320",186,740
이자발생부채,"9,457","9,369","7,212","6,911","5,907"
영업이익률,-0.88,0.30,1.51,2.37,3.38
순이익률,-0.76,-2.08,-4.33,-1.14,1.79
ROE(%),-2.78,-3.61,-13.31,-1.26,5.27
ROA(%),-0.78,-1.58,-3.88,-1.17,2.07
부채비율,176.76,183.74,175.20,160.23,135.90
자본유보율,"9,156.81","8,929.68","8,412.11","3,787.51","3,977.73"
EPS(원),-623,-757,"-2,554",-228,"1,008"
PER(배),N/A,N/A,N/A,N/A,12.20
BPS(원),"23,358","22,063","19,459","19,784","21,587"
PBR(배),0.32,0.16,0.15,0.49,0.57
현금DPS(원),100,50,50,50,100
현금배당수익률,1.36,1.38,1.71,0.52,0.81
현금배당성향(%),-14.84,-6.10,-1.81,-20.25,9.17
발행주식수(보통주),"23,479,844","23,479,844","23,479,844","23,479,844","23,479,844"
