주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)"
매출액,"1,560","1,594","1,626","1,527","2,049"
영업이익,65,33,26,28,208
영업이익(발표기준),65,33,26,28,208
세전계속사업이익,113,67,30,102,318
당기순이익,101,50,24,86,254
  당기순이익(지배),101,50,24,86,254
  당기순이익(비지배),,,,,
자산총계,"1,577","1,517","1,953","1,877","2,098"
부채총계,559,417,839,686,668
자본총계,"1,018","1,100","1,113","1,191","1,430"
  자본총계(지배),"1,018","1,100","1,113","1,191","1,430"
  자본총계(비지배),,,,,
자본금,103,103,103,103,103
영업활동현금흐름,-27,101,44,28,25
투자활동현금흐름,-413,24,-166,-108,72
재무활동현금흐름,306,-112,383,-175,-95
CAPEX,3,7,3,1,3
FCF,-30,94,41,27,22
이자발생부채,362,221,630,473,405
영업이익률,4.15,2.06,1.60,1.83,10.14
순이익률,6.49,3.12,1.46,5.64,12.39
ROE(%),10.48,4.70,2.14,7.47,19.36
ROA(%),7.39,3.22,1.37,4.50,12.77
부채비율,54.96,37.94,75.36,57.61,46.75
자본유보율,906.51,973.49,986.23,"1,061.31","1,300.30"
EPS(원),494,243,116,420,"1,238"
PER(배),5.74,11.90,22.13,8.14,3.09
BPS(원),"5,600","5,614","5,682","6,077","7,298"
PBR(배),0.51,0.51,0.45,0.56,0.52
현금DPS(원),50,50,50,50,75
현금배당수익률,1.76,1.73,1.95,1.46,1.96
현금배당성향(%),8.97,19.68,41.30,11.38,5.79
발행주식수(보통주),"20,503,505","20,503,505","20,503,505","20,503,505","20,503,505"
