주요재무정보,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,543,656,737,"16,862","29,300","26,886","15,234","14,752"
영업이익,-16,30,9,"7,383","13,640","11,522","5,630","4,766"
영업이익(발표기준),-16,30,9,"7,383","13,640",,,
세전계속사업이익,-48,29,6,"7,172","14,408","11,691","5,796","4,983"
당기순이익,-33,30,14,"6,216","10,644","8,948","4,516","3,787"
  당기순이익(지배),-33,30,14,"6,156","10,648","8,936","4,507","3,778"
  당기순이익(비지배),,,,60,-3,,,
자산총계,966,"1,022","1,593","14,617","30,051","36,841","40,154","42,532"
부채총계,192,219,276,"7,041","8,017","6,134","5,458","4,312"
자본총계,774,804,"1,316","7,576","22,034","30,704","34,693","38,220"
  자본총계(지배),774,804,"1,316","7,480","21,905","30,575","34,550","38,033"
  자본총계(비지배),,,,95,129,,,
자본금,43,43,52,467,516,519,519,516
영업활동현금흐름,-101,-10,-17,"4,954","12,349","9,711","5,228","4,341"
투자활동현금흐름,-35,-26,-122,"-2,458","-9,577","-2,706","-2,372","-1,218"
재무활동현금흐름,150,,514,-147,"3,513",-558,-170,-272
CAPEX,34,22,61,549,973,"1,609","2,452","1,520"
FCF,-135,-32,-78,"4,405","11,376","7,765","2,746","2,739"
이자발생부채,110,110,130,205,"1,957",,,
영업이익률,-2.98,4.63,1.21,43.78,46.55,42.86,36.96,32.31
순이익률,-6.07,4.62,1.90,36.87,36.33,33.28,29.64,25.67
ROE(%),-4.59,3.84,1.32,139.97,72.47,34.05,13.84,10.41
ROA(%),-3.59,3.05,1.07,76.50,47.66,26.75,11.73,9.16
부채비율,24.75,27.19,20.99,92.94,36.39,19.98,15.73,11.28
자본유보율,"1,699.06","1,769.09","2,439.59","1,504.85","4,298.27",,,
EPS(원),-44,39,17,"6,597","10,864","8,653","4,364","3,658"
PER(배),,,,,5.15,5.49,10.88,12.98
BPS(원),994,"1,031","1,410","8,016","21,658","30,230","34,160","37,604"
PBR(배),0.00,0.00,0.00,0.00,2.58,1.57,1.39,1.26
현금DPS(원),0,0,0,535,"1,266",572,555,400
현금배당수익률,,,,,2.26,1.20,1.17,0.84
현금배당성향(%),0.00,0.00,0.00,8.11,12.03,6.61,12.73,10.93
발행주식수(보통주),"77,927,068","77,927,068","93,318,575","93,317,753","103,271,353",,,
