주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"2,083","3,604","3,779","3,720","5,313"
영업이익,218,400,466,492,950
영업이익(발표기준),218,400,466,492,950
세전계속사업이익,204,447,492,458,"1,055"
당기순이익,172,360,396,347,799
  당기순이익(지배),172,360,396,347,799
  당기순이익(비지배),,,,,
자산총계,"2,202","2,767","3,119","3,271","4,381"
부채총계,349,563,625,660,"1,116"
자본총계,"1,853","2,203","2,493","2,611","3,265"
  자본총계(지배),"1,853","2,203","2,493","2,611","3,265"
  자본총계(비지배),,,,,
자본금,26,26,26,26,26
영업활동현금흐름,330,215,689,704,324
투자활동현금흐름,-221,-397,-165,-141,-515
재무활동현금흐름,11,103,-74,-254,-33
CAPEX,171,266,194,206,456
FCF,159,-51,495,498,-132
이자발생부채,16,121,166,132,267
영업이익률,10.47,11.11,12.33,13.23,17.89
순이익률,8.25,9.98,10.47,9.32,15.04
ROE(%),,17.74,,13.58,27.20
ROA(%),,14.48,,10.85,20.88
부채비율,18.86,25.56,25.09,25.28,34.18
자본유보율,"7,054.25","8,340.39","9,530.42","10,034.09","12,724.85"
EPS(원),"4,947","6,930","7,542","6,726","15,667"
PER(배),11.81,9.32,9.57,15.54,13.95
BPS(원),"35,770","42,201","47,872","51,701","65,109"
PBR(배),1.63,1.53,1.51,2.02,3.36
현금DPS(원),500,"1,200","1,700","1,700","2,100"
현금배당수익률,0.86,1.86,2.35,1.63,0.96
현금배당성향(%),15.06,17.42,22.63,24.84,13.20
발행주식수(보통주),"5,179,111","5,221,276","5,267,891","5,100,000","5,100,000"
