주요재무정보,"2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"6,109","10,009","12,974","15,386","17,299"
영업이익,88,725,"1,504","1,869","2,180"
영업이익(발표기준),88,725,,,
세전계속사업이익,-27,799,"1,550","1,917","2,226"
당기순이익,-87,630,"1,228","1,517","1,676"
  당기순이익(지배),-87,630,"1,227","1,517","1,676"
  당기순이익(비지배),,,,,
자산총계,"8,092","9,410","10,753","12,313","14,219"
부채총계,"1,714","2,591","2,849","3,068","3,567"
자본총계,"6,378","6,819","7,905","9,244","10,651"
  자본총계(지배),"6,378","6,819","7,905","9,244","10,651"
  자본총계(비지배),,,,,
자본금,258,258,259,259,259
영업활동현금흐름,829,"2,038","1,990","2,384","2,804"
투자활동현금흐름,-838,"-1,335","-1,183","-1,073","-1,602"
재무활동현금흐름,-62,-164,-213,-252,-203
CAPEX,971,"1,295","1,171","1,082","1,842"
FCF,-142,743,866,"1,198","1,006"
이자발생부채,138,14,,,
영업이익률,1.44,7.24,11.60,12.15,12.60
순이익률,-1.43,6.30,9.46,9.86,9.69
ROE(%),,9.55,16.67,17.69,16.85
ROA(%),,7.20,12.18,13.15,12.63
부채비율,26.87,38.00,36.04,33.19,33.49
자본유보율,"2,388.50","2,546.70",,,
EPS(원),-253,"1,224","2,383","2,945","3,254"
PER(배),N/A,20.35,13.12,10.61,9.60
BPS(원),"12,381","13,237","15,346","17,945","20,677"
PBR(배),1.02,1.88,2.04,1.74,1.51
현금DPS(원),300,300,325,331,383
현금배당수익률,2.38,1.20,1.04,1.06,1.23
현금배당성향(%),-176.94,24.54,13.08,10.79,11.30
발행주식수(보통주),"49,416,925","49,416,925",,,
