주요재무정보,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)","2023/12(E)
(IFRS별도)","2024/12(E)
(IFRS별도)"
매출액,"2,212","4,618","3,814","5,885","9,249","12,267"
영업이익,195,260,180,283,648,"1,009"
영업이익(발표기준),195,260,180,,,
세전계속사업이익,160,183,186,314,638,989
당기순이익,119,142,87,241,486,751
  당기순이익(지배),119,142,87,241,486,751
  당기순이익(비지배),,,,,,
자산총계,"4,958","7,902","6,989","8,822","10,392","11,027"
부채총계,"3,290","2,776","1,807","3,434","4,559","4,519"
자본총계,"1,668","5,125","5,182","5,388","5,833","6,508"
  자본총계(지배),"1,668","5,125","5,182","5,388","5,833","6,508"
  자본총계(비지배),,,,,,
자본금,72,82,82,81,81,81
영업활동현금흐름,"1,217",-760,"-1,401",569,564,809
투자활동현금흐름,-228,"-2,555",421,-278,-569,-513
재무활동현금흐름,4,"3,306",-283,411,438,-109
CAPEX,2,128,349,519,581,461
FCF,"1,215",-888,"-1,750",334,243,396
이자발생부채,"1,011","1,012",847,,,
영업이익률,8.81,5.64,4.72,4.81,7.00,8.23
순이익률,5.37,3.07,2.28,4.10,5.26,6.12
ROE(%),,4.18,1.69,4.56,8.67,12.17
ROA(%),,2.21,1.17,3.05,5.06,7.01
부채비율,197.27,54.17,34.87,63.74,78.15,69.44
자본유보율,"2,215.15","6,157.08","6,223.91",,,
EPS(원),643,193,106,294,594,917
PER(배),13.36,277.78,451.81,126.84,62.88,40.72
BPS(원),"2,276","6,263","6,332","6,584","7,128","7,953"
PBR(배),3.78,8.54,7.58,5.67,5.24,4.70
현금DPS(원),0,0,,50,62,100
현금배당수익률,0.00,0.00,,0.13,0.17,0.27
현금배당성향(%),0.00,0.00,,13.59,8.42,8.72
발행주식수(보통주),"56,936,166","65,493,726","65,493,726",,,
