주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"2,122","2,126","1,864","1,653","1,952"
영업이익,74,88,39,108,196
영업이익(발표기준),74,88,39,108,196
세전계속사업이익,83,89,135,124,219
당기순이익,67,56,98,91,155
  당기순이익(지배),57,39,41,46,93
  당기순이익(비지배),10,16,57,45,62
자산총계,"2,635","2,938","3,014","2,959","3,324"
부채총계,926,"1,009",985,871,975
자본총계,"1,710","1,929","2,028","2,087","2,348"
  자본총계(지배),"1,148","1,306","1,337","1,365","1,518"
  자본총계(비지배),562,,692,722,831
자본금,138,138,138,138,138
영업활동현금흐름,273,49,478,240,356
투자활동현금흐름,-75,-80,-371,-72,-228
재무활동현금흐름,-248,-20,-11,-114,-128
CAPEX,76,60,90,59,81
FCF,197,-12,388,182,275
이자발생부채,428,448,438,374,253
영업이익률,3.46,4.14,2.08,6.53,10.04
순이익률,3.14,2.62,5.26,5.53,7.94
ROE(%),5.02,3.20,3.08,3.42,6.47
ROA(%),2.46,2.00,3.30,3.06,4.93
부채비율,54.15,52.30,48.58,41.75,41.53
자본유보율,670.72,692.12,708.64,729.32,789.52
EPS(원),206,142,148,167,338
PER(배),13.44,18.28,29.43,24.15,15.02
BPS(원),"4,162","4,734","4,846","4,950","5,502"
PBR(배),0.67,0.55,0.90,0.82,0.92
현금DPS(원),100,100,100,100,110
현금배당수익률,3.61,3.85,2.30,2.48,2.17
현금배당성향(%),48.52,70.32,67.73,59.78,32.52
발행주식수(보통주),"27,583,100","27,583,100","27,583,100","27,583,100","27,583,100"
