주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)"
매출액,"1,084",838,893,862,833
영업이익,15,11,-17,26,-106
영업이익(발표기준),15,11,-17,26,-106
세전계속사업이익,13,-17,-12,33,-124
당기순이익,17,-8,-22,25,-100
  당기순이익(지배),17,-8,-21,25,-99
  당기순이익(비지배),0,0,0,0,-1
자산총계,"1,582","1,491","1,670","1,756","1,679"
부채총계,680,653,805,823,868
자본총계,902,838,865,933,812
  자본총계(지배),900,837,863,925,790
  자본총계(비지배),2,,2,8,22
자본금,90,90,90,90,90
영업활동현금흐름,37,25,-9,-43,-68
투자활동현금흐름,-67,-35,-107,34,10
재무활동현금흐름,37,28,96,12,49
CAPEX,57,10,162,84,24
FCF,-21,14,-171,-127,-92
이자발생부채,351,383,488,498,541
영업이익률,1.36,1.35,-1.87,2.97,-12.76
순이익률,1.54,-0.98,-2.41,2.91,-11.94
ROE(%),1.94,-0.94,-2.52,2.80,-11.53
ROA(%),1.10,-0.53,-1.36,1.46,-5.79
부채비율,75.41,77.85,93.05,88.26,106.94
자본유보율,589.74,635.76,637.68,665.10,544.48
EPS(원),92,-45,-119,139,-549
PER(배),34.24,N/A,N/A,21.66,N/A
BPS(원),"5,035","4,682","4,832","5,175","4,420"
PBR(배),0.63,0.94,0.63,0.58,0.81
현금DPS(원),20,20,25,5,
현금배당수익률,0.63,0.45,0.82,0.17,
현금배당성향(%),21.48,-44.05,-20.85,3.57,
발행주식수(보통주),"18,000,000","18,000,000","18,000,000","18,000,000","18,000,000"
