주요재무정보,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"5,120","9,462","9,743","12,719","14,360","15,050","15,652"
영업이익,561,590,"1,328","1,204","1,853","1,986","2,123"
영업이익(발표기준),561,590,"1,328","1,204",,,
세전계속사업이익,701,544,"1,408","1,209","1,870","2,020","2,178"
당기순이익,537,405,"1,000",860,"1,403","1,515","1,633"
  당기순이익(지배),537,405,950,786,"1,304","1,424","1,535"
  당기순이익(비지배),,,50,74,,,
자산총계,"13,680","13,836","23,997","23,703","24,861","26,042","27,340"
부채총계,"4,998","4,965","10,414","9,120","9,238","9,266","9,294"
자본총계,"8,682","8,871","13,582","14,584","15,623","16,776","18,046"
  자본총계(지배),"8,682","8,871","13,006","13,708","14,650","15,711","16,883"
  자본총계(비지배),,,576,876,,,
자본금,207,207,346,346,346,346,346
영업활동현금흐름,553,"1,201","1,482","1,054","2,833","3,148","3,432"
투자활동현금흐름,-143,"-1,425","-1,150",43,182,372,382
재무활동현금흐름,-24,-378,"-1,047","-1,118",-514,-518,-518
CAPEX,143,313,393,593,520,330,320
FCF,410,888,"1,089",462,,,
이자발생부채,"2,283","2,503","5,626","4,993",,,
영업이익률,10.96,6.23,13.63,9.47,12.90,13.20,13.56
순이익률,10.49,4.28,10.26,6.76,9.77,10.07,10.43
ROE(%),,4.61,,5.89,9.20,9.38,9.42
ROA(%),,2.94,,3.61,5.78,5.95,6.12
부채비율,57.56,55.97,76.67,62.53,59.13,55.23,51.50
자본유보율,"4,087.87","4,182.77","3,676.08","3,858.27",,,
EPS(원),"2,585",977,"1,795","1,135","1,883","2,056","2,216"
PER(배),4.54,9.56,5.85,18.50,9.91,9.07,8.42
BPS(원),"20,946","21,401","19,505","20,557","21,152","22,684","24,376"
PBR(배),0.56,0.44,0.54,1.02,0.88,0.82,0.77
현금DPS(원),450,470,510,540,,,
현금배당수익률,3.83,5.03,4.86,2.57,,,
현금배당성향(%),34.72,48.10,35.79,45.79,,,
발행주식수(보통주),"41,449,700","41,449,700","69,261,540","69,261,540",,,
